videoID,day,likes
weKfI5UPen8,2021-06-02,2659
weKfI5UPen8,2021-06-03,848
weKfI5UPen8,2021-06-04,396
weKfI5UPen8,2021-06-05,592
weKfI5UPen8,2021-06-06,539
weKfI5UPen8,2021-06-07,559
weKfI5UPen8,2021-06-08,420
weKfI5UPen8,2021-06-09,404
weKfI5UPen8,2021-06-10,304
weKfI5UPen8,2021-06-11,227
weKfI5UPen8,2021-06-12,216
weKfI5UPen8,2021-06-13,214
weKfI5UPen8,2021-06-14,136
weKfI5UPen8,2021-06-15,138
weKfI5UPen8,2021-06-16,116
weKfI5UPen8,2021-06-17,154
weKfI5UPen8,2021-06-18,173
weKfI5UPen8,2021-06-19,147
weKfI5UPen8,2021-06-20,159
weKfI5UPen8,2021-06-21,157
weKfI5UPen8,2021-06-22,118
weKfI5UPen8,2021-06-23,111
weKfI5UPen8,2021-06-24,99
weKfI5UPen8,2021-06-25,89
weKfI5UPen8,2021-06-26,88
weKfI5UPen8,2021-06-27,87
weKfI5UPen8,2021-06-28,95
weKfI5UPen8,2021-06-29,79
weKfI5UPen8,2021-06-30,79
weKfI5UPen8,2021-07-01,79
weKfI5UPen8,2021-07-02,76
weKfI5UPen8,2021-07-03,67
weKfI5UPen8,2021-07-04,55
weKfI5UPen8,2021-07-05,48
weKfI5UPen8,2021-07-06,49
weKfI5UPen8,2021-07-07,52
weKfI5UPen8,2021-07-08,25
weKfI5UPen8,2021-07-09,40
weKfI5UPen8,2021-07-10,39
weKfI5UPen8,2021-07-11,39
weKfI5UPen8,2021-07-12,34
weKfI5UPen8,2021-07-13,44
weKfI5UPen8,2021-07-14,27
weKfI5UPen8,2021-07-15,37
weKfI5UPen8,2021-07-16,39
weKfI5UPen8,2021-07-17,36
weKfI5UPen8,2021-07-18,34
weKfI5UPen8,2021-07-19,57
weKfI5UPen8,2021-07-20,38
weKfI5UPen8,2021-07-21,28
weKfI5UPen8,2021-07-22,19
weKfI5UPen8,2021-07-23,17
weKfI5UPen8,2021-07-24,34
weKfI5UPen8,2021-07-25,24
weKfI5UPen8,2021-07-26,26
weKfI5UPen8,2021-07-27,21
weKfI5UPen8,2021-07-28,8
weKfI5UPen8,2021-07-29,12
weKfI5UPen8,2021-07-30,9
weKfI5UPen8,2021-07-31,14
weKfI5UPen8,2021-08-01,11
weKfI5UPen8,2021-08-02,7
weKfI5UPen8,2021-08-03,7
weKfI5UPen8,2021-08-04,15
weKfI5UPen8,2021-08-05,10
weKfI5UPen8,2021-08-06,10
weKfI5UPen8,2021-08-07,9
weKfI5UPen8,2021-08-08,12
weKfI5UPen8,2021-08-09,9
weKfI5UPen8,2021-08-10,7
weKfI5UPen8,2021-08-11,14
weKfI5UPen8,2021-08-12,9
weKfI5UPen8,2021-08-13,11
weKfI5UPen8,2021-08-14,9
weKfI5UPen8,2021-08-15,5
weKfI5UPen8,2021-08-16,10
weKfI5UPen8,2021-08-17,12
weKfI5UPen8,2021-08-18,9
weKfI5UPen8,2021-08-19,9
weKfI5UPen8,2021-08-20,10
weKfI5UPen8,2021-08-21,15
weKfI5UPen8,2021-08-22,10
