day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-02-21,44530,2995,149,2464,35,1604,255,109,331828,24118,447,64.7,0,0,0,0,0,0,0,0.1048,0.0109,248,20597,26,224,161,13
2020-02-22,33467,1890,69,1119,41,577,245,62,232083,14731,416,60.209999999999994,0,0,0,0,0,0,0,0.1489,0.0085,141,13816,21,118,136,7
2020-02-23,19797,992,36,463,22,278,173,28,130391,7291,395,57.19,0,0,0,0,0,0,0,0.047599999999999996,0.0067,63,8116,3,54,77,2
2020-02-24,15097,540,27,242,17,177,120,18,86279,3709,342,49.62,0,0,0,0,0,0,0,0.0702,0.0072,57,6218,4,45,56,2
2020-02-25,13064,387,18,180,12,153,87,21,69144,2490,317,45.96,0,0,0,0,0,0,0,0.1333,0.0078000000000000005,60,5780,8,45,56,3
2020-02-26,9565,276,5,127,10,101,56,15,51390,1889,322,46.65,0,0,0,0,0,0,0,0.1026,0.0067,39,4479,4,30,41,1
2020-02-27,7081,182,5,89,2,77,43,9,38828,1339,329,47.61,0,0,0,0,0,0,0,0.0323,0.0085,31,3169,1,27,32,0
2020-02-28,4994,112,3,69,3,46,38,6,26413,788,317,45.93,0,0,0,0,0,0,0,0.04,0.009399999999999999,25,2337,1,22,21,2
2020-02-29,4381,127,1,70,3,54,30,6,23743,890,325,47.06,0,0,0,0,0,0,0,0.11109999999999999,0.0125,27,2005,3,25,34,4
2020-03-01,4327,127,0,61,2,43,28,5,23122,895,320,46.4,0,0,0,0,0,0,0,0.1429,0.005600000000000001,14,1968,2,11,24,4
2020-03-02,3515,148,2,51,3,28,25,4,20138,1040,343,49.75,0,0,0,0,0,0,0,0.2,0.0069,10,1455,2,10,16,0
2020-03-03,2961,108,2,38,1,25,25,3,16876,809,341,49.49,0,0,0,0,0,0,0,0.05,0.0129,20,1315,1,17,9,3
2020-03-04,2222,108,2,33,4,13,25,4,12925,694,349,50.51,0,0,0,0,0,0,0,0.2727,0.0098,11,1023,3,10,6,0
2020-03-05,2798,142,2,41,4,32,15,5,15893,1051,340,49.32,0,0,0,0,0,0,0,0.3333,0.0067,15,1353,5,9,12,1
2020-03-06,2045,95,2,29,2,19,19,4,11618,667,340,49.33,0,0,0,0,0,0,0,0.4,0.0044,5,910,2,4,6,1
2020-03-07,1844,85,2,34,1,21,12,6,10718,633,348,50.470000000000006,0,0,0,0,0,0,0,0.0,0.011399999999999999,9,787,0,9,15,2
2020-03-08,1782,69,0,35,0,39,34,3,10932,566,368,53.27,0,0,0,0,0,0,0,0.1818,0.0103,11,777,2,8,5,0
2020-03-09,1823,65,0,30,0,26,15,1,9915,431,326,47.23,0,0,0,0,0,0,0,0.0,0.0078000000000000005,7,766,0,6,16,0
2020-03-10,1186,41,1,13,0,16,15,4,7078,312,358,51.82,0,0,0,0,0,0,0,0.4,0.008100000000000001,10,495,4,4,9,2
2020-03-11,795,42,1,13,0,4,10,7,5548,288,418,60.6,0,0,0,0,0,0,0,0.0,0.0178,6,337,0,6,1,1
2020-03-12,775,47,1,17,1,2,6,2,5361,379,415,60.07,0,0,0,0,0,0,0,0.25,0.0118,4,340,1,4,5,0
2020-03-13,649,37,1,14,0,8,11,0,4471,277,413,59.82999999999999,0,0,0,0,0,0,0,0.25,0.0106,4,282,1,3,3,0
2020-03-14,690,39,0,13,0,8,11,0,4852,304,421,61.06,0,0,0,0,0,0,0,0.16670000000000001,0.0149,6,268,1,4,3,0
2020-03-15,749,42,0,13,0,10,12,2,5515,333,441,63.94,0,0,0,0,0,0,0,0.25,0.0063,4,318,1,2,6,0
2020-03-16,681,34,2,20,0,10,4,2,4678,289,412,59.650000000000006,0,0,0,0,0,0,0,0.0,0.0096,3,311,0,3,4,0
2020-03-17,681,28,0,13,0,5,5,1,4262,284,375,54.35,0,0,0,0,0,0,0,0.1429,0.020099999999999996,7,298,1,6,5,0
2020-03-18,689,27,0,6,0,9,10,0,4590,262,399,57.85,0,0,0,0,0,0,0,0.5,0.0,2,290,1,0,3,0
2020-03-19,621,21,0,7,0,11,15,1,3978,185,384,55.63,0,0,0,0,0,0,0,0.0,0.0115,3,262,0,3,3,1
2020-03-20,655,22,1,10,1,3,2,4,4138,210,379,54.86,0,0,0,0,0,0,0,0.3333,0.0036,3,278,1,1,3,1
2020-03-21,665,34,0,14,0,6,10,1,4209,226,379,54.96,0,0,0,0,0,0,0,0.0,0.013000000000000001,5,308,0,4,2,0
2020-03-22,615,36,0,3,0,5,5,0,4068,274,396,57.440000000000005,0,0,0,0,0,0,0,0.0,0.0,0,278,0,0,2,1
2020-03-23,540,15,0,20,1,5,5,0,3441,118,382,55.33,0,0,0,0,0,0,0,0.0,0.028999999999999998,6,241,0,7,3,0
2020-03-24,537,27,0,15,0,4,0,1,3420,206,382,55.31,0,0,0,0,0,0,0,0.0,0.0044,2,229,0,1,2,0
2020-03-25,539,31,0,10,0,2,2,1,3400,260,378,54.78000000000001,0,0,0,0,0,0,0,0.2,0.0040999999999999995,5,244,1,1,3,0
2020-03-26,575,26,0,3,0,3,4,0,3841,230,400,57.99999999999999,0,0,0,0,0,0,0,0.16670000000000001,0.011699999999999999,6,257,1,3,4,0
2020-03-27,650,40,0,12,0,3,1,0,4207,311,388,56.21000000000001,0,0,0,0,0,0,0,0.0,0.0034000000000000002,1,294,0,1,4,0
2020-03-28,547,23,1,10,1,2,5,2,3556,189,390,56.46,0,0,0,0,0,0,0,0.0,0.0,0,235,0,0,1,0
2020-03-29,547,29,0,7,1,3,8,1,3624,228,397,57.53,0,0,0,0,0,0,0,0.6667000000000001,0.0304,3,230,2,7,5,0
2020-03-30,508,20,0,5,0,4,3,2,3631,176,428,62.08,0,0,0,0,0,0,0,0.0,0.0088,2,228,0,2,2,0
2020-03-31,564,38,0,13,0,6,6,0,4289,297,456,66.04,0,0,0,0,0,0,0,0.0,0.0084,2,237,0,2,4,0
2020-04-01,564,24,0,22,0,3,7,0,4145,213,441,63.82,0,0,0,0,0,0,0,0.3333,0.0,3,238,1,0,4,1
2020-04-02,655,28,0,7,0,1,3,0,4543,245,416,60.24,0,0,0,0,0,0,0,0.2,0.0106,5,282,1,3,3,0
2020-04-03,750,34,0,15,1,1,3,0,5317,221,425,61.56,0,0,0,0,0,0,0,0.0,0.0155,5,322,0,5,3,0
2020-04-04,834,36,1,16,0,2,3,1,5830,320,419,60.699999999999996,0,0,0,0,0,0,0,0.0,0.011000000000000001,5,362,0,4,0,0
2020-04-05,948,45,0,9,0,6,4,0,6927,342,438,63.45,0,0,0,0,0,0,0,0.1429,0.0178,7,393,1,7,2,0
2020-04-06,893,43,1,12,0,4,3,0,6725,406,451,65.4,0,0,0,0,0,0,0,0.16670000000000001,0.010700000000000001,6,374,1,4,4,0
2020-04-07,824,48,0,15,1,7,6,2,6406,408,466,67.51,0,0,0,0,0,0,0,0.0,0.014499999999999999,7,344,0,5,3,0
2020-04-08,749,27,1,8,1,7,4,1,5700,249,456,66.09,0,0,0,0,0,0,0,0.0,0.0134,6,298,0,4,2,0
2020-04-09,878,28,0,9,0,4,4,1,6763,266,462,66.89,0,0,0,0,0,0,0,0.0,0.0029,1,349,0,1,0,0
2020-04-10,817,36,0,16,0,13,10,1,6237,291,458,66.29,0,0,0,0,0,0,0,0.0,0.0176,7,340,0,6,1,0
2020-04-11,892,40,1,8,0,6,4,2,6750,337,454,65.72,0,0,0,0,0,0,0,0.0,0.0055000000000000005,3,363,0,2,3,0
2020-04-12,958,36,0,10,1,9,7,3,7239,307,453,65.62,0,0,0,0,0,0,0,0.0,0.01,4,400,0,4,2,1
2020-04-13,795,37,0,12,0,4,6,1,5858,350,442,63.97999999999999,0,0,0,0,0,0,0,0.4286,0.015,7,334,3,5,3,0
2020-04-14,638,23,1,3,0,4,5,2,4603,182,432,62.64999999999999,0,0,0,0,0,0,0,1.0,0.0,2,274,2,0,1,0
2020-04-15,661,34,0,7,0,4,7,2,4716,307,428,61.95,0,0,0,0,0,0,0,0.0,0.0037,1,270,0,1,3,0
2020-04-16,549,25,0,13,0,8,3,1,3890,191,425,61.53999999999999,0,0,0,0,0,0,0,0.3333,0.0132,6,227,2,3,1,0
2020-04-17,634,37,0,10,0,7,1,0,4558,339,431,62.43,0,0,0,0,0,0,0,0.3333,0.0075,3,268,1,2,2,0
2020-04-18,606,21,0,7,1,3,3,0,4313,184,427,61.809999999999995,0,0,0,0,0,0,0,0.0,0.0128,3,235,0,3,0,0
2020-04-19,546,27,0,5,0,6,4,2,3952,183,434,62.86000000000001,0,0,0,0,0,0,0,0.0,0.0096,2,209,0,2,4,0
2020-04-20,438,17,0,6,0,5,5,2,3026,132,414,60.0,0,0,0,0,0,0,0,0.3333,0.0054,3,185,1,1,4,0
2020-04-21,376,24,0,9,0,9,3,0,2630,165,419,60.75000000000001,0,0,0,0,0,0,0,0.0,0.006500000000000001,1,155,0,1,1,0
2020-04-22,346,18,0,4,0,4,6,3,2557,188,443,64.19,0,0,0,0,0,0,0,0.0,0.0,0,163,0,0,2,0
2020-04-23,318,18,0,4,0,1,2,0,2163,111,408,59.06,0,0,0,0,0,0,0,0.3333,0.0128,3,156,1,2,0,0
2020-04-24,289,22,0,6,0,3,4,2,1965,189,408,59.06,0,0,0,0,0,0,0,0.0,0.0074,1,136,0,1,0,0
2020-04-25,324,20,0,7,0,4,6,0,2483,160,459,66.57,0,0,0,0,0,0,0,0.0,0.0,0,147,0,0,1,0
2020-04-26,320,17,1,12,0,3,2,0,2569,125,481,69.71,0,0,0,0,0,0,0,0.1429,0.028399999999999998,7,141,1,4,0,0
2020-04-27,290,19,0,0,0,1,1,0,2339,179,484,70.06,0,0,0,0,0,0,0,0.0,0.0134,2,149,0,2,1,0
2020-04-28,300,15,0,8,1,1,5,2,2393,128,478,69.29,0,0,0,0,0,0,0,0.0,0.022099999999999998,3,136,0,3,3,0
2020-04-29,324,16,1,1,1,0,3,0,2419,130,447,64.83,0,0,0,0,0,0,0,0.0,0.0084,1,119,0,1,1,0
2020-04-30,306,12,0,3,0,3,0,0,2425,118,475,68.83,0,0,0,0,0,0,0,0.0,0.0254,2,118,0,3,1,0
2020-05-01,337,13,0,5,0,2,6,1,2688,130,478,69.28,0,0,0,0,0,0,0,0.5,0.0,2,140,1,0,5,0
2020-05-02,396,22,0,8,0,6,3,0,3216,229,487,70.53,0,0,0,0,0,0,0,0.0,0.0138,2,145,0,2,4,1
2020-05-03,489,22,1,10,0,1,1,1,3880,169,476,68.9,0,0,0,0,0,0,0,0.25,0.0052,4,193,1,1,2,0
2020-05-04,419,20,0,7,0,4,2,0,3503,196,501,72.61,0,0,0,0,0,0,0,0.5,0.0078000000000000005,4,128,2,1,0,0
2020-05-05,427,17,0,12,0,1,2,0,3524,156,495,71.68,0,0,0,0,0,0,0,0.16670000000000001,0.0126,6,159,1,2,2,0
2020-05-06,470,29,0,4,0,6,2,0,3857,280,492,71.26,0,0,0,0,0,0,0,0.0,0.0,0,167,0,0,2,0
2020-05-07,387,11,0,2,0,2,0,0,3189,90,494,71.55,0,0,0,0,0,0,0,0.0,0.0147,2,136,0,2,0,0
2020-05-08,412,21,1,11,0,2,3,0,3268,169,475,68.88,0,0,0,0,0,0,0,0.0,0.0059,3,170,0,1,3,0
2020-05-09,486,16,0,9,0,4,3,0,4007,135,494,71.59,0,0,0,0,0,0,0,0.0,0.0213,5,188,0,4,1,0
2020-05-10,457,26,0,1,0,4,6,0,3671,244,482,69.77,0,0,0,0,0,0,0,0.2857,0.0106,7,188,2,2,2,0
2020-05-11,429,23,0,6,0,2,5,0,3527,194,493,71.4,0,0,0,0,0,0,0,1.0,0.006,1,167,1,1,2,0
2020-05-12,447,25,0,4,0,6,3,0,3706,230,497,72.0,0,0,0,0,0,0,0,0.2,0.0225,5,178,1,4,3,1
2020-05-13,454,27,0,15,0,1,1,1,3743,243,494,71.59,0,0,0,0,0,0,0,0.3333,0.028399999999999998,6,176,2,5,2,0
2020-05-14,475,29,0,4,0,6,2,0,4035,261,509,73.77,0,0,0,0,0,0,0,0.0,0.0,0,187,0,0,3,0
2020-05-15,468,21,0,9,1,2,4,0,3926,206,503,72.85,0,0,0,0,0,0,0,0.2,0.0155,5,193,1,3,1,0
2020-05-16,581,36,0,10,0,3,1,1,4799,318,495,71.73,0,0,0,0,0,0,0,0.0,0.0042,1,239,0,1,3,0
2020-05-17,623,28,0,11,1,5,3,0,5015,224,483,69.9,0,0,0,0,0,0,0,0.25,0.0040999999999999995,4,242,1,1,3,0
2020-05-18,598,27,1,13,0,3,3,0,4775,247,479,69.34,0,0,0,0,0,0,0,0.0,0.0127,3,237,0,3,3,0
2020-05-19,848,39,2,17,1,4,4,2,6861,368,485,70.26,0,0,0,0,0,0,0,0.0,0.0139,7,359,0,5,6,0
2020-05-20,1036,56,0,16,1,5,2,2,8216,501,475,68.87,0,0,0,0,0,0,0,0.0,0.0091,4,438,0,4,6,0
2020-05-21,1056,61,0,16,0,7,4,1,8601,522,488,70.72,0,0,0,0,0,0,0,0.3636,0.0147,11,477,4,7,5,0
2020-05-22,1047,53,1,12,0,6,1,1,8248,470,472,68.41,0,0,0,0,0,0,0,0.3333,0.004699999999999999,3,423,1,2,7,1
2020-05-23,1169,62,0,16,0,8,5,0,9166,543,470,68.09,0,0,0,0,0,0,0,0.1429,0.0083,7,483,1,4,10,0
2020-05-24,1260,65,2,22,0,1,2,0,10355,570,493,71.37,0,0,0,0,0,0,0,0.125,0.0128,8,549,1,7,11,0
2020-05-25,1422,69,0,32,0,10,5,1,11203,618,472,68.41,0,0,0,0,0,0,0,0.0,0.0159,10,567,0,9,6,0
2020-05-26,1364,60,1,14,0,13,6,3,10139,473,446,64.55,0,0,0,0,0,0,0,0.1429,0.015300000000000001,14,590,2,9,4,0
2020-05-27,1157,57,1,19,0,9,1,0,8420,495,436,63.2,0,0,0,0,0,0,0,0.1818,0.0172,11,465,2,8,6,0
2020-05-28,1197,57,0,22,0,5,5,1,8644,544,433,62.71,0,0,0,0,0,0,0,0.0,0.0039000000000000003,3,514,0,2,8,0
2020-05-29,1005,41,0,17,1,4,1,0,6906,312,412,59.67,0,0,0,0,0,0,0,0.4,0.0104,5,386,2,4,3,1
2020-05-30,970,45,0,20,0,8,3,3,6903,331,427,61.8,0,0,0,0,0,0,0,0.6,0.0075,5,402,3,3,3,0
2020-05-31,1002,45,0,8,1,5,5,3,6854,302,410,59.4,0,0,0,0,0,0,0,0.0,0.0178,6,394,0,7,6,1
2020-06-01,738,30,1,12,0,9,4,1,5518,244,448,64.93,0,0,0,0,0,0,0,0.0,0.0031,1,322,0,1,5,0
2020-06-02,731,32,1,15,0,3,4,0,5437,277,446,64.59,0,0,0,0,0,0,0,0.23079999999999998,0.024700000000000003,13,324,3,8,5,1
2020-06-03,644,35,0,7,0,1,1,0,4665,253,434,62.9,0,0,0,0,0,0,0,0.0,0.018500000000000003,6,271,0,5,4,0
2020-06-04,582,34,0,5,0,10,3,0,4270,260,440,63.72,0,0,0,0,0,0,0,0.0,0.008199999999999999,4,244,0,2,2,0
2020-06-05,597,28,0,10,0,5,1,0,4209,216,423,61.22,0,0,0,0,0,0,0,0.3333,0.0212,9,236,3,5,1,0
2020-06-06,609,42,0,11,0,3,1,0,4620,281,455,65.87,0,0,0,0,0,0,0,0.375,0.019799999999999998,8,252,3,5,0,0
2020-06-07,685,36,1,9,2,2,2,1,5174,295,453,65.59,0,0,0,0,0,0,0,0.2,0.0134,5,298,1,4,6,1
2020-06-08,685,31,0,14,0,6,3,0,5245,285,459,66.49,0,0,0,0,0,0,0,0.1429,0.024399999999999998,7,328,1,8,0,0
2020-06-09,779,41,0,8,0,6,2,2,6161,331,474,68.68,0,0,0,0,0,0,0,0.16670000000000001,0.0146,6,343,1,5,5,0
2020-06-10,813,47,1,13,0,3,5,0,6743,446,497,72.02,0,0,0,0,0,0,0,0.3333,0.011399999999999999,6,350,2,4,3,0
2020-06-11,757,29,0,10,0,4,2,1,6214,254,492,71.29,0,0,0,0,0,0,0,0.0,0.0151,5,331,0,5,4,0
2020-06-12,818,52,0,6,0,1,4,0,6481,502,475,68.81,0,0,0,0,0,0,0,0.2,0.0116,5,344,1,4,4,0
2020-06-13,816,29,0,11,0,6,3,0,6053,239,445,64.42,0,0,0,0,0,0,0,0.2857,0.0146,7,342,2,5,3,0
2020-06-14,956,33,1,13,0,4,3,1,7154,303,449,64.98,0,0,0,0,0,0,0,0.0,0.0101,5,397,0,4,1,0
2020-06-15,844,36,0,16,0,11,5,3,6285,282,446,64.67,0,0,0,0,0,0,0,0.2857,0.0108,7,370,2,4,5,0
2020-06-16,911,49,0,18,0,10,4,1,6951,392,457,66.26,0,0,0,0,0,0,0,0.22219999999999998,0.0209,9,382,2,8,3,0
2020-06-17,908,46,0,10,0,6,5,1,6813,411,450,65.16,0,0,0,0,0,0,0,0.16670000000000001,0.0148,6,406,1,6,2,0
2020-06-18,1001,28,0,10,1,7,5,1,7701,214,461,66.81,0,0,0,0,0,0,0,0.0,0.0195,4,410,0,8,3,0
2020-06-19,920,41,1,12,1,1,3,0,7180,348,468,67.77,0,0,0,0,0,0,0,0.0,0.0104,5,383,0,4,3,0
2020-06-20,1147,64,0,18,0,3,1,2,8373,502,438,63.39,0,0,0,0,0,0,0,0.3333,0.0106,6,473,2,5,8,0
2020-06-21,1213,44,0,17,0,6,5,2,9149,418,452,65.49,0,0,0,0,0,0,0,0.0,0.0199,12,503,0,10,4,1
2020-06-22,1161,47,1,18,0,9,1,1,8966,367,463,67.06,0,0,0,0,0,0,0,0.22219999999999998,0.0138,9,509,2,7,5,0
2020-06-23,1133,59,0,17,0,11,3,3,8176,487,432,62.66,0,0,0,0,0,0,0,0.1429,0.02,7,500,1,10,5,0
2020-06-24,1097,32,1,11,1,5,2,0,7570,268,414,59.92000000000001,0,0,0,0,0,0,0,0.0909,0.0179,11,503,1,9,3,0
2020-06-25,1066,45,1,16,0,6,3,0,7679,347,432,62.55,0,0,0,0,0,0,0,0.2,0.0101,5,494,1,5,5,1
2020-06-26,1005,42,2,22,0,5,3,1,6885,309,411,59.489999999999995,0,0,0,0,0,0,0,0.11109999999999999,0.0159,9,439,1,7,7,1
2020-06-27,930,46,1,8,1,8,4,0,6448,304,416,60.209999999999994,0,0,0,0,0,0,0,0.25,0.0077,4,392,1,3,1,0
2020-06-28,900,33,1,13,0,5,3,1,6146,191,409,59.3,0,0,0,0,0,0,0,0.25,0.010700000000000001,4,375,1,4,3,0
2020-06-29,699,26,1,11,0,10,1,2,4780,210,410,59.39,0,0,0,0,0,0,0,0.0,0.0174,4,345,0,6,0,0
2020-06-30,644,21,0,2,1,8,3,2,4280,169,398,57.71999999999999,0,0,0,0,0,0,0,0.0,0.0070999999999999995,2,281,0,2,1,0
2020-07-01,646,24,1,6,0,3,2,0,4291,212,398,57.69,0,0,0,0,0,0,0,0.25,0.0067,4,297,1,2,1,0
