day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-10-25,62034,9385,216,4108,36,2920,549,108,344172,57539,332,46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,124,26
2021-10-26,39842,6022,96,2065,27,1178,462,55,205457,34658,309,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,144,22
2021-10-27,28213,3765,61,1203,25,770,298,50,135096,20307,287,39.96,0,0,0,0,0,0,0,0,0,0,0,0,0,104,11
2021-10-28,17252,2146,42,717,12,481,219,30,77046,11219,267,37.27,0,0,0,0,0,0,0,0,0,0,0,0,0,75,11
2021-10-29,15538,1806,27,542,11,451,200,29,68330,9256,263,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2
2021-10-30,11910,1354,23,424,12,321,145,26,54459,7158,274,38.16,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1
2021-10-31,9163,1073,27,328,10,202,109,13,40518,5508,265,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1
2021-11-01,4755,553,6,200,1,141,111,10,21738,3085,274,38.15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
2021-11-02,3345,398,8,163,5,106,95,8,15858,2114,284,39.56,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2021-11-03,3122,350,6,110,5,60,89,3,13893,1831,267,37.14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2021-11-04,3043,340,5,98,4,63,47,6,12665,1778,249,34.73,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-11-05,2490,331,2,87,3,51,48,5,9860,1460,237,33.05,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-11-06,1948,203,3,63,6,44,56,5,8452,1138,260,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-11-07,1421,191,4,65,1,25,45,3,6861,1117,289,40.29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2021-11-08,1192,161,1,42,3,26,37,0,5782,978,291,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-11-09,1000,145,1,35,1,15,30,0,4870,759,292,40.64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-11-10,820,125,0,32,0,13,30,1,4393,777,321,44.71,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-11-11,809,109,2,32,0,8,25,3,4171,619,309,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-12,671,87,1,33,0,17,32,1,3466,557,309,43.11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-11-13,673,106,1,29,0,12,23,2,3395,680,302,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-14,740,111,1,41,0,15,20,0,4193,655,340,47.29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-15,626,86,4,24,0,10,19,2,3281,513,314,43.75,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-11-16,473,74,0,13,0,5,17,1,2351,481,298,41.49,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-11-17,416,80,1,15,0,7,11,0,2350,506,338,47.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-18,409,70,0,15,0,12,16,0,2386,458,350,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2021-11-19,389,80,1,18,0,8,16,1,2423,542,373,51.99,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2021-11-20,356,73,1,19,0,8,11,0,2161,558,364,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-21,369,62,0,14,0,7,13,1,2157,460,350,48.79,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-22,345,60,1,15,0,2,14,0,2056,395,357,49.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-23,358,62,1,14,0,4,17,3,2001,380,335,46.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-24,192,30,0,4,0,3,11,0,1227,227,383,53.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-25,219,38,2,13,0,2,13,0,1350,240,369,51.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-11-26,180,22,0,6,0,5,11,0,1227,202,409,56.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-27,156,30,0,5,0,2,12,0,940,221,361,50.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-28,190,38,1,4,0,4,15,0,1252,281,395,55.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-29,332,57,0,18,0,3,8,1,2177,388,393,54.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,274,45,0,14,1,5,14,0,1696,302,371,51.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-01,205,29,0,7,0,4,7,0,1217,214,356,49.57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-02,213,38,1,8,0,4,6,2,1131,254,318,44.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-03,220,45,0,5,0,3,16,0,1075,261,293,40.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-04,201,35,0,10,0,6,6,1,1380,270,411,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,206,33,1,9,0,7,6,0,1617,287,471,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-06,256,46,0,6,0,7,4,1,1609,331,377,52.46999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-12-07,229,33,0,9,1,5,7,0,1597,191,418,58.20000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-08,208,39,0,9,0,4,7,0,1490,299,430,59.81999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-09,193,39,1,1,0,3,7,0,1287,282,400,55.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-10,208,40,0,4,0,3,6,0,1341,275,386,53.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-11,215,43,0,10,0,4,4,0,1462,310,408,56.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021-12-12,1695,313,1,71,0,37,8,0,9084,1748,321,44.72,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-12-13,726,140,1,28,0,18,12,0,4201,883,347,48.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-14,720,114,1,24,0,20,9,2,3741,640,311,43.36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2021-12-15,173,34,0,9,0,6,5,0,1264,278,438,61.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-12-16,153,28,0,4,0,5,8,0,1163,217,456,63.47999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-17,106,14,0,4,0,2,5,0,834,135,472,65.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,110,24,0,7,0,19,7,0,810,194,442,61.480000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-19,118,15,0,5,0,4,5,1,857,93,435,60.63000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-20,96,15,0,5,0,3,8,0,810,128,506,70.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-21,103,16,0,2,0,2,4,0,813,131,474,65.93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-22,201,34,1,9,0,2,4,0,1473,301,439,61.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-23,334,53,0,17,0,8,8,0,2257,400,405,56.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-24,427,77,1,18,1,11,5,0,2634,520,370,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-25,282,43,0,15,0,6,6,0,1853,281,394,54.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-26,733,133,1,53,1,12,8,2,4701,819,384,53.53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-27,626,104,0,26,0,16,9,0,3942,773,377,52.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-12-28,471,69,1,22,0,18,6,1,3322,559,423,58.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
