videoID,day,likes
x5whyyaFxAQ,2021-10-25,4108
x5whyyaFxAQ,2021-10-26,2065
x5whyyaFxAQ,2021-10-27,1203
x5whyyaFxAQ,2021-10-28,717
x5whyyaFxAQ,2021-10-29,542
x5whyyaFxAQ,2021-10-30,424
x5whyyaFxAQ,2021-10-31,328
x5whyyaFxAQ,2021-11-01,200
x5whyyaFxAQ,2021-11-02,163
x5whyyaFxAQ,2021-11-03,110
x5whyyaFxAQ,2021-11-04,98
x5whyyaFxAQ,2021-11-05,87
x5whyyaFxAQ,2021-11-06,63
x5whyyaFxAQ,2021-11-07,65
x5whyyaFxAQ,2021-11-08,42
x5whyyaFxAQ,2021-11-09,35
x5whyyaFxAQ,2021-11-10,32
x5whyyaFxAQ,2021-11-11,32
x5whyyaFxAQ,2021-11-12,33
x5whyyaFxAQ,2021-11-13,29
x5whyyaFxAQ,2021-11-14,41
x5whyyaFxAQ,2021-11-15,24
x5whyyaFxAQ,2021-11-16,13
x5whyyaFxAQ,2021-11-17,15
x5whyyaFxAQ,2021-11-18,15
x5whyyaFxAQ,2021-11-19,18
x5whyyaFxAQ,2021-11-20,19
x5whyyaFxAQ,2021-11-21,14
x5whyyaFxAQ,2021-11-22,15
x5whyyaFxAQ,2021-11-23,14
x5whyyaFxAQ,2021-11-24,4
x5whyyaFxAQ,2021-11-25,13
x5whyyaFxAQ,2021-11-26,6
x5whyyaFxAQ,2021-11-27,5
x5whyyaFxAQ,2021-11-28,4
x5whyyaFxAQ,2021-11-29,18
x5whyyaFxAQ,2021-11-30,14
x5whyyaFxAQ,2021-12-01,7
x5whyyaFxAQ,2021-12-02,8
x5whyyaFxAQ,2021-12-03,5
x5whyyaFxAQ,2021-12-04,10
x5whyyaFxAQ,2021-12-05,9
x5whyyaFxAQ,2021-12-06,6
x5whyyaFxAQ,2021-12-07,9
x5whyyaFxAQ,2021-12-08,9
x5whyyaFxAQ,2021-12-09,1
x5whyyaFxAQ,2021-12-10,4
x5whyyaFxAQ,2021-12-11,10
x5whyyaFxAQ,2021-12-12,71
x5whyyaFxAQ,2021-12-13,28
x5whyyaFxAQ,2021-12-14,24
x5whyyaFxAQ,2021-12-15,9
x5whyyaFxAQ,2021-12-16,4
x5whyyaFxAQ,2021-12-17,4
x5whyyaFxAQ,2021-12-18,7
x5whyyaFxAQ,2021-12-19,5
x5whyyaFxAQ,2021-12-20,5
x5whyyaFxAQ,2021-12-21,2
x5whyyaFxAQ,2021-12-22,9
x5whyyaFxAQ,2021-12-23,17
x5whyyaFxAQ,2021-12-24,18
x5whyyaFxAQ,2021-12-25,15
x5whyyaFxAQ,2021-12-26,53
x5whyyaFxAQ,2021-12-27,26
x5whyyaFxAQ,2021-12-28,22
x5whyyaFxAQ,2021-12-29,24
x5whyyaFxAQ,2021-12-30,24
x5whyyaFxAQ,2021-12-31,43
x5whyyaFxAQ,2022-01-01,37
x5whyyaFxAQ,2022-01-02,122
x5whyyaFxAQ,2022-01-03,73
x5whyyaFxAQ,2022-01-04,84
x5whyyaFxAQ,2022-01-05,83
x5whyyaFxAQ,2022-01-06,83
x5whyyaFxAQ,2022-01-07,35
x5whyyaFxAQ,2022-01-08,23
x5whyyaFxAQ,2022-01-09,30
x5whyyaFxAQ,2022-01-10,29
x5whyyaFxAQ,2022-01-11,20
x5whyyaFxAQ,2022-01-12,14
x5whyyaFxAQ,2022-01-13,17
x5whyyaFxAQ,2022-01-14,8
x5whyyaFxAQ,2022-01-15,7
x5whyyaFxAQ,2022-01-16,7
x5whyyaFxAQ,2022-01-17,8
x5whyyaFxAQ,2022-01-18,7
x5whyyaFxAQ,2022-01-19,5
x5whyyaFxAQ,2022-01-20,3
