day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,82,7,0,3,0,1,0,0,1142,122,835,52.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-02,69,2,1,0,0,2,0,0,1014,26,881,55.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,63,3,0,3,0,0,0,3,938,33,893,56.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-04,98,8,0,2,0,0,2,1,1337,179,818,51.46999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-05,115,8,1,3,0,0,0,0,1627,137,849,53.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,68,4,0,5,0,1,1,0,1000,61,883,55.50000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-07,60,7,1,3,0,4,2,0,795,147,795,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,62,1,1,2,0,3,2,0,950,4,919,57.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,62,2,0,2,0,2,2,0,750,27,726,45.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,73,4,0,1,0,0,0,0,846,74,695,43.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,49,3,0,1,0,1,2,0,763,53,934,58.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,74,3,0,1,0,2,1,0,944,79,765,48.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-13,85,7,0,2,1,0,2,2,1225,112,865,54.39000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-14,79,6,0,3,0,4,0,0,1138,93,864,54.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,102,10,0,3,0,0,2,0,1476,189,868,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,79,5,2,0,0,2,0,1,1061,62,806,50.690000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-17,98,7,0,4,0,0,1,0,1273,122,779,49.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-01-18,67,7,2,6,0,1,0,1,878,83,786,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,75,3,0,3,0,2,0,0,1018,35,814,51.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,95,5,1,2,1,2,0,1,1389,113,877,55.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,93,5,0,12,0,4,1,2,1251,79,807,50.74999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,83,6,2,5,0,1,2,0,1000,20,723,45.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,85,2,0,2,0,1,0,0,1175,27,829,52.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,73,7,0,2,1,0,0,1,899,86,739,46.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,53,3,0,1,0,0,1,1,654,51,741,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-26,96,6,0,3,0,1,0,1,1530,76,956,60.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,117,9,0,6,0,4,1,0,1586,127,813,51.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,76,0,1,0,0,0,0,0,1044,0,824,51.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-29,62,5,0,4,0,0,1,0,936,123,906,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-30,53,2,0,0,0,1,1,0,667,26,755,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-31,56,2,0,1,0,1,0,0,799,34,856,53.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-01,97,6,0,4,0,2,0,0,1246,99,771,48.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-02,146,10,1,8,0,4,0,1,2367,181,972,61.14999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-02-03,183,11,1,9,0,3,3,0,2749,135,901,56.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,151,12,0,6,0,8,0,0,2131,94,846,53.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-02-05,145,16,1,10,0,2,3,3,2207,252,913,57.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,177,16,3,12,0,4,3,2,2625,204,890,55.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-07,122,5,0,2,0,1,1,0,1674,56,823,51.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,140,15,1,8,0,5,0,1,1875,210,803,50.529999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-09,167,15,0,7,0,2,2,0,2405,249,864,54.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,175,8,0,2,0,7,1,0,2280,137,782,49.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-11,143,7,1,6,0,6,3,1,2019,89,847,53.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-12,143,10,0,6,0,1,1,1,1793,112,752,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
