videoID,day,likes
xbSSiEUJkFM,2018-05-08,336
xbSSiEUJkFM,2018-05-09,98
xbSSiEUJkFM,2018-05-10,55
xbSSiEUJkFM,2018-05-11,28
xbSSiEUJkFM,2018-05-12,16
xbSSiEUJkFM,2018-05-13,17
xbSSiEUJkFM,2018-05-14,12
xbSSiEUJkFM,2018-05-15,11
xbSSiEUJkFM,2018-05-16,12
xbSSiEUJkFM,2018-05-17,12
xbSSiEUJkFM,2018-05-18,6
xbSSiEUJkFM,2018-05-19,5
xbSSiEUJkFM,2018-05-20,7
xbSSiEUJkFM,2018-05-21,10
xbSSiEUJkFM,2018-05-22,7
xbSSiEUJkFM,2018-05-23,3
xbSSiEUJkFM,2018-05-24,7
xbSSiEUJkFM,2018-05-25,10
xbSSiEUJkFM,2018-05-26,13
xbSSiEUJkFM,2018-05-27,8
xbSSiEUJkFM,2018-05-28,7
xbSSiEUJkFM,2018-05-29,11
xbSSiEUJkFM,2018-05-30,3
xbSSiEUJkFM,2018-05-31,7
xbSSiEUJkFM,2018-06-01,5
xbSSiEUJkFM,2018-06-02,2
xbSSiEUJkFM,2018-06-03,5
xbSSiEUJkFM,2018-06-04,3
xbSSiEUJkFM,2018-06-05,3
xbSSiEUJkFM,2018-06-06,4
xbSSiEUJkFM,2018-06-07,1
xbSSiEUJkFM,2018-06-08,5
xbSSiEUJkFM,2018-06-09,3
xbSSiEUJkFM,2018-06-10,4
xbSSiEUJkFM,2018-06-11,2
xbSSiEUJkFM,2018-06-12,5
xbSSiEUJkFM,2018-06-13,1
xbSSiEUJkFM,2018-06-14,1
xbSSiEUJkFM,2018-06-15,1
xbSSiEUJkFM,2018-06-16,1
xbSSiEUJkFM,2018-06-17,2
xbSSiEUJkFM,2018-06-18,0
xbSSiEUJkFM,2018-06-19,2
xbSSiEUJkFM,2018-06-20,1
xbSSiEUJkFM,2018-06-21,0
xbSSiEUJkFM,2018-06-22,0
xbSSiEUJkFM,2018-06-23,1
xbSSiEUJkFM,2018-06-24,4
xbSSiEUJkFM,2018-06-25,2
xbSSiEUJkFM,2018-06-26,2
xbSSiEUJkFM,2018-06-27,2
xbSSiEUJkFM,2018-06-28,2
xbSSiEUJkFM,2018-06-29,0
xbSSiEUJkFM,2018-06-30,1
xbSSiEUJkFM,2018-07-01,0
xbSSiEUJkFM,2018-07-02,2
xbSSiEUJkFM,2018-07-03,1
xbSSiEUJkFM,2018-07-04,4
xbSSiEUJkFM,2018-07-05,1
xbSSiEUJkFM,2018-07-06,1
xbSSiEUJkFM,2018-07-07,3
xbSSiEUJkFM,2018-07-08,1
xbSSiEUJkFM,2018-07-09,0
xbSSiEUJkFM,2018-07-10,1
xbSSiEUJkFM,2018-07-11,2
xbSSiEUJkFM,2018-07-12,0
xbSSiEUJkFM,2018-07-13,2
xbSSiEUJkFM,2018-07-14,0
xbSSiEUJkFM,2018-07-15,2
xbSSiEUJkFM,2018-07-16,0
xbSSiEUJkFM,2018-07-17,1
xbSSiEUJkFM,2018-07-18,1
xbSSiEUJkFM,2018-07-19,1
xbSSiEUJkFM,2018-07-20,0
xbSSiEUJkFM,2018-07-21,4
xbSSiEUJkFM,2018-07-22,2
xbSSiEUJkFM,2018-07-23,3
xbSSiEUJkFM,2018-07-24,3
xbSSiEUJkFM,2018-07-25,3
xbSSiEUJkFM,2018-07-26,1
xbSSiEUJkFM,2018-07-27,0
xbSSiEUJkFM,2018-07-28,0
xbSSiEUJkFM,2018-07-29,1
xbSSiEUJkFM,2018-07-30,0
xbSSiEUJkFM,2018-07-31,0
xbSSiEUJkFM,2018-08-01,1
xbSSiEUJkFM,2018-08-02,1
xbSSiEUJkFM,2018-08-03,0
xbSSiEUJkFM,2018-08-04,5
xbSSiEUJkFM,2018-08-05,0
xbSSiEUJkFM,2018-08-06,0
xbSSiEUJkFM,2018-08-07,2
xbSSiEUJkFM,2018-08-08,0
xbSSiEUJkFM,2018-08-09,0
xbSSiEUJkFM,2018-08-10,-1
xbSSiEUJkFM,2018-08-11,0
xbSSiEUJkFM,2018-08-12,1
xbSSiEUJkFM,2018-08-13,0
xbSSiEUJkFM,2018-08-14,0
xbSSiEUJkFM,2018-08-15,1
xbSSiEUJkFM,2018-08-16,1
xbSSiEUJkFM,2018-08-17,4
xbSSiEUJkFM,2018-08-18,1
xbSSiEUJkFM,2018-08-19,2
xbSSiEUJkFM,2018-08-20,1
xbSSiEUJkFM,2018-08-21,0
xbSSiEUJkFM,2018-08-22,0
xbSSiEUJkFM,2018-08-23,1
xbSSiEUJkFM,2018-08-24,3
xbSSiEUJkFM,2018-08-25,0
xbSSiEUJkFM,2018-08-26,3
xbSSiEUJkFM,2018-08-27,2
xbSSiEUJkFM,2018-08-28,0
xbSSiEUJkFM,2018-08-29,1
xbSSiEUJkFM,2018-08-30,2
xbSSiEUJkFM,2018-08-31,1
xbSSiEUJkFM,2018-09-01,2
xbSSiEUJkFM,2018-09-02,2
xbSSiEUJkFM,2018-09-03,3
xbSSiEUJkFM,2018-09-04,3
xbSSiEUJkFM,2018-09-05,0
xbSSiEUJkFM,2018-09-06,2
xbSSiEUJkFM,2018-09-07,2
xbSSiEUJkFM,2018-09-08,2
xbSSiEUJkFM,2018-09-09,2
xbSSiEUJkFM,2018-09-10,2
xbSSiEUJkFM,2018-09-11,1
xbSSiEUJkFM,2018-09-12,2
xbSSiEUJkFM,2018-09-13,0
xbSSiEUJkFM,2018-09-14,0
xbSSiEUJkFM,2018-09-15,2
xbSSiEUJkFM,2018-09-16,4
xbSSiEUJkFM,2018-09-17,2
xbSSiEUJkFM,2018-09-18,5
xbSSiEUJkFM,2018-09-19,5
xbSSiEUJkFM,2018-09-20,4
xbSSiEUJkFM,2018-09-21,4
xbSSiEUJkFM,2018-09-22,1
xbSSiEUJkFM,2018-09-23,1
xbSSiEUJkFM,2018-09-24,2
xbSSiEUJkFM,2018-09-25,0
xbSSiEUJkFM,2018-09-26,1
xbSSiEUJkFM,2018-09-27,0
xbSSiEUJkFM,2018-09-28,5
xbSSiEUJkFM,2018-09-29,1
xbSSiEUJkFM,2018-09-30,1
xbSSiEUJkFM,2018-10-01,3
xbSSiEUJkFM,2018-10-02,0
xbSSiEUJkFM,2018-10-03,1
xbSSiEUJkFM,2018-10-04,1
xbSSiEUJkFM,2018-10-05,0
xbSSiEUJkFM,2018-10-06,0
xbSSiEUJkFM,2018-10-07,1
xbSSiEUJkFM,2018-10-08,1
xbSSiEUJkFM,2018-10-09,1
xbSSiEUJkFM,2018-10-10,0
