day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-04-28,3,2,0,0,0,0,0,0,3,3,70,9.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-04-29,32369,4957,188,2662,20,2864,388,184,246946,42739,457,58.31000000000001,0,0,0,0,0,0,0,0.1765,0.0054,68,10330,12,56,80,21
2021-04-30,18031,2645,54,1155,14,907,418,95,134015,22087,445,56.81,0,0,0,0,0,0,0,0.25,0.003,32,5404,8,16,85,9
2021-05-01,23338,3254,68,1193,22,834,278,108,178095,27264,457,58.32999999999999,0,0,0,0,0,0,0,0.1765,0.0043,34,6516,6,28,135,8
2021-05-02,27581,3844,60,1188,21,906,275,105,203716,30487,443,56.45,0,0,0,0,0,0,0,0.3333,0.0036,33,7191,11,26,164,7
2021-05-03,54464,6905,136,2342,52,1858,346,287,394401,54407,434,55.35,0,0,0,0,0,0,0,0.11689999999999999,0.0046,77,13784,9,64,439,12
2021-05-04,41414,4846,77,1467,31,1591,353,197,289698,37371,419,53.47,0,0,0,0,0,0,0,0.2432,0.0032,37,9512,9,30,365,8
2021-05-05,25382,3049,41,899,23,924,260,120,172520,23092,407,51.95000000000001,0,0,0,0,0,0,0,0.0667,0.002,15,5996,1,12,220,4
2021-05-06,13426,1568,19,458,19,498,182,46,90959,11892,406,51.78,0,0,0,0,0,0,0,0.22219999999999998,0.0019,9,3080,2,6,122,3
2021-05-07,5963,694,17,238,6,252,117,40,40709,5303,409,52.18000000000001,0,0,0,0,0,0,0,0.11109999999999999,0.004,9,1492,1,6,28,1
2021-05-08,3753,462,15,178,6,145,114,25,26489,3464,423,53.949999999999996,0,0,0,0,0,0,0,0.4,0.0049,5,1027,2,5,29,0
2021-05-09,3749,443,9,132,6,124,102,26,27596,3535,441,56.26,0,0,0,0,0,0,0,0.0,0.0079,10,1012,0,8,31,2
2021-05-10,2923,366,1,108,2,91,72,10,21375,3075,438,55.89999999999999,0,0,0,0,0,0,0,0.0,0.0062,4,805,0,5,28,0
2021-05-11,3036,326,3,104,1,102,77,14,21951,2652,433,55.27000000000001,0,0,0,0,0,0,0,0.0,0.0037,4,812,0,3,27,2
2021-05-12,2482,296,3,107,3,73,63,13,18502,2447,447,56.98,0,0,0,0,0,0,0,0.0,0.0015,3,672,0,1,20,2
2021-05-13,2057,267,1,87,2,95,50,11,15154,1969,442,56.31,0,0,0,0,0,0,0,0.0,0.0018,1,566,0,1,16,0
2021-05-14,1407,169,0,43,2,43,41,6,10260,1403,437,55.74,0,0,0,0,0,0,0,0.0,0.0026,1,385,0,1,16,0
2021-05-15,1294,154,4,48,1,25,42,8,9604,1265,445,56.72999999999999,0,0,0,0,0,0,0,0.6667000000000001,0.008199999999999999,3,367,2,3,11,1
2021-05-16,1585,192,6,59,0,41,38,15,11873,1541,449,57.26,0,0,0,0,0,0,0,0.5,0.0022,2,452,1,1,14,2
2021-05-17,1437,178,0,67,3,36,49,10,10683,1482,446,56.82000000000001,0,0,0,0,0,0,0,0.6,0.0115,5,434,3,5,9,2
2021-05-18,1449,176,1,59,0,56,36,11,11118,1508,460,58.650000000000006,0,0,0,0,0,0,0,0.5,0.0022,2,464,1,1,16,0
2021-05-19,1426,194,2,62,3,46,38,9,10875,1616,457,58.29,0,0,0,0,0,0,0,0.0,0.0,0,442,0,0,15,2
2021-05-20,1990,237,5,72,0,89,37,11,15155,2017,456,58.21000000000001,0,0,0,0,0,0,0,0.0,0.0,3,694,0,0,17,3
2021-05-21,2040,242,1,84,0,40,20,8,15370,2079,452,57.59000000000001,0,0,0,0,0,0,0,0.25,0.0032,4,619,1,2,15,0
2021-05-22,1924,233,3,66,1,74,28,7,13665,1807,426,54.28999999999999,0,0,0,0,0,0,0,0.0,0.0017000000000000001,1,573,0,1,11,0
2021-05-23,1828,232,4,69,0,76,41,7,13554,1908,444,56.67,0,0,0,0,0,0,0,0.0,0.0,0,504,0,0,8,0
2021-05-24,1781,229,5,62,1,57,30,13,12420,1873,418,53.29999999999999,0,0,0,0,0,0,0,0.25,0.004,4,496,1,2,16,1
2021-05-25,2012,235,10,66,1,60,38,8,13575,1845,404,51.57000000000001,0,0,0,0,0,0,0,0.0,0.0037,2,545,0,2,18,1
2021-05-26,1843,200,7,77,3,56,36,16,12879,1606,419,53.42,0,0,0,0,0,0,0,0.0,0.0019,1,516,0,1,14,0
2021-05-27,1462,192,2,43,1,43,27,9,10457,1564,429,54.669999999999995,0,0,0,0,0,0,0,0.0,0.0,0,385,0,0,9,1
2021-05-28,1640,189,3,72,0,40,27,17,12199,1608,446,56.86,0,0,0,0,0,0,0,0.5,0.0021,2,478,1,1,12,1
2021-05-29,1573,189,1,67,3,57,31,8,11592,1468,442,56.330000000000005,0,0,0,0,0,0,0,0.3333,0.006999999999999999,3,431,1,3,11,1
2021-05-30,1759,190,5,48,2,84,32,5,13097,1472,446,56.91,0,0,0,0,0,0,0,0.0,0.0019,1,515,0,1,10,0
2021-05-31,1383,152,1,43,0,47,29,8,9892,1119,429,54.669999999999995,0,0,0,0,0,0,0,0.0,0.0026,1,392,0,1,10,1
2021-06-01,1189,133,1,42,2,35,30,15,8309,1056,419,53.42,0,0,0,0,0,0,0,0.5,0.0123,2,326,1,4,9,0
2021-06-02,1408,166,1,54,0,45,30,7,10082,1289,429,54.730000000000004,0,0,0,0,0,0,0,0.0,0.0,0,448,0,0,5,0
2021-06-03,1377,144,1,47,0,50,34,9,9754,1212,425,54.14,0,0,0,0,0,0,0,0.0,0.0106,1,379,0,4,8,0
2021-06-04,1133,125,2,42,0,24,25,3,8006,925,423,54.010000000000005,0,0,0,0,0,0,0,0.0,0.0,0,307,0,0,9,0
2021-06-05,939,116,1,29,0,33,28,8,6760,1014,431,55.03,0,0,0,0,0,0,0,0.0,0.0,0,271,0,0,3,0
2021-06-06,1013,122,0,37,0,18,24,3,7608,931,450,57.41,0,0,0,0,0,0,0,1.0,0.0033,2,304,2,1,8,0
2021-06-07,915,109,1,27,1,27,17,4,6849,931,449,57.220000000000006,0,0,0,0,0,0,0,0.0,0.0,0,267,0,0,3,0
2021-06-08,823,97,0,30,-1,17,13,2,6118,839,446,56.82000000000001,0,0,0,0,0,0,0,0.0,0.0,0,261,0,0,6,0
2021-06-09,913,120,1,27,1,30,20,2,6663,959,437,55.779999999999994,0,0,0,0,0,0,0,0.0,0.0,0,315,0,0,3,0
2021-06-10,976,94,1,33,1,25,15,4,6893,665,423,53.98,0,0,0,0,0,0,0,0.0,0.0,1,327,0,0,15,0
2021-06-11,850,100,0,28,0,25,21,5,6288,832,443,56.55,0,0,0,0,0,0,0,0.0,0.0069,1,290,0,2,7,0
2021-06-12,997,122,2,33,2,37,16,3,6866,907,413,52.64,0,0,0,0,0,0,0,0.0,0.0064,2,314,0,2,8,0
2021-06-13,1030,140,1,27,0,32,15,2,7198,1089,419,53.42,0,0,0,0,0,0,0,0.0,0.0,0,324,0,0,6,1
2021-06-14,1025,133,5,19,1,40,20,6,7154,1005,418,53.349999999999994,0,0,0,0,0,0,0,0.0,0.0031,1,323,0,1,5,0
2021-06-15,1145,157,5,35,1,31,16,4,8114,1142,425,54.17000000000001,0,0,0,0,0,0,0,0.0,0.0,0,363,0,0,7,1
2021-06-16,1042,134,2,29,1,25,10,9,7711,1122,444,56.56,0,0,0,0,0,0,0,0.0,0.0029,1,350,0,1,5,2
2021-06-17,1078,147,3,36,1,28,10,4,8228,1276,457,58.34,0,0,0,0,0,0,0,0.0,0.0026,1,380,0,1,1,0
2021-06-18,787,95,1,27,0,22,20,2,5992,751,456,58.20000000000001,0,0,0,0,0,0,0,0.0,0.0,0,256,0,0,6,0
2021-06-19,1023,137,2,44,0,24,12,5,7482,1135,438,55.91,0,0,0,0,0,0,0,0.0,0.0032,2,314,0,1,3,0
2021-06-20,1016,109,1,33,0,26,18,4,7819,915,461,58.82999999999999,0,0,0,0,0,0,0,0.0,0.0,0,359,0,0,3,0
2021-06-21,898,114,2,34,1,25,17,1,7205,940,481,61.33,0,0,0,0,0,0,0,0.0,0.0,0,333,0,0,4,0
2021-06-22,1036,119,0,31,0,31,17,2,7894,947,457,58.24,0,0,0,0,0,0,0,0.0,0.0,0,356,0,0,7,2
2021-06-23,1523,217,5,43,1,33,16,3,12256,1986,482,61.51,0,0,0,0,0,0,0,0.0,0.0,1,587,0,0,7,0
2021-06-24,1769,234,5,60,2,49,14,6,13401,1857,454,57.9,0,0,0,0,0,0,0,0.0,0.0015,2,658,0,1,7,0
2021-06-25,1621,185,5,53,1,34,15,2,11856,1566,438,55.91,0,0,0,0,0,0,0,0.5,0.0036,2,548,1,2,3,0
2021-06-26,1724,221,4,47,1,48,14,11,12323,1724,428,54.63,0,0,0,0,0,0,0,0.0,0.0,0,529,0,0,9,0
2021-06-27,1645,226,6,50,2,47,17,5,11848,1855,432,55.05,0,0,0,0,0,0,0,0.5,0.0019,2,515,1,1,9,0
2021-06-28,1259,172,4,28,2,42,14,4,9385,1343,447,56.98,0,0,0,0,0,0,0,0.5,0.0023,2,430,1,1,4,0
2021-06-29,1133,118,1,27,1,34,15,8,8627,989,456,58.20000000000001,0,0,0,0,0,0,0,0.0,0.0,1,393,0,0,6,0
2021-06-30,1110,104,2,46,0,45,17,9,8291,906,448,57.10000000000001,0,0,0,0,0,0,0,0.0,0.0053,2,380,0,2,5,0
2021-07-01,1374,170,2,60,0,41,18,6,10585,1313,462,58.89,0,0,0,0,0,0,0,0.0,0.0,1,460,0,0,11,0
2021-07-02,1586,202,0,44,0,49,12,1,12086,1657,457,58.25,0,0,0,0,0,0,0,0.0,0.0,0,486,0,0,5,0
2021-07-03,1358,150,2,37,1,36,13,7,10462,1260,462,58.89,0,0,0,0,0,0,0,0.0,0.0091,2,439,0,4,6,1
2021-07-04,1449,153,2,53,3,62,14,6,10921,1189,452,57.60999999999999,0,0,0,0,0,0,0,1.0,0.002,1,507,1,1,4,0
2021-07-05,1443,163,2,36,1,44,21,8,10617,1385,441,56.24,0,0,0,0,0,0,0,0.0,0.0044,2,457,0,2,5,1
2021-07-06,1263,134,2,38,1,40,19,6,9376,1119,445,56.74,0,0,0,0,0,0,0,0.0,0.0,0,389,0,0,9,0
2021-07-07,1028,103,0,21,0,24,14,1,7839,905,457,58.29,0,0,0,0,0,0,0,0.0,0.0,0,334,0,0,6,0
2021-07-08,1515,188,4,43,1,31,13,8,11044,1465,437,55.720000000000006,0,0,0,0,0,0,0,0.0,0.0,0,402,0,0,13,0
2021-07-09,1862,181,3,49,1,46,16,9,13661,1405,440,56.08,0,0,0,0,0,0,0,0.0,0.0019,1,520,0,1,9,0
