videoID,day,likes
xvsvhlVxtag,2021-04-28,0
xvsvhlVxtag,2021-04-29,2662
xvsvhlVxtag,2021-04-30,1155
xvsvhlVxtag,2021-05-01,1193
xvsvhlVxtag,2021-05-02,1188
xvsvhlVxtag,2021-05-03,2342
xvsvhlVxtag,2021-05-04,1467
xvsvhlVxtag,2021-05-05,899
xvsvhlVxtag,2021-05-06,458
xvsvhlVxtag,2021-05-07,238
xvsvhlVxtag,2021-05-08,178
xvsvhlVxtag,2021-05-09,132
xvsvhlVxtag,2021-05-10,108
xvsvhlVxtag,2021-05-11,104
xvsvhlVxtag,2021-05-12,107
xvsvhlVxtag,2021-05-13,87
xvsvhlVxtag,2021-05-14,43
xvsvhlVxtag,2021-05-15,48
xvsvhlVxtag,2021-05-16,59
xvsvhlVxtag,2021-05-17,67
xvsvhlVxtag,2021-05-18,59
xvsvhlVxtag,2021-05-19,62
xvsvhlVxtag,2021-05-20,72
xvsvhlVxtag,2021-05-21,84
xvsvhlVxtag,2021-05-22,66
xvsvhlVxtag,2021-05-23,69
xvsvhlVxtag,2021-05-24,62
xvsvhlVxtag,2021-05-25,66
xvsvhlVxtag,2021-05-26,77
xvsvhlVxtag,2021-05-27,43
xvsvhlVxtag,2021-05-28,72
xvsvhlVxtag,2021-05-29,67
xvsvhlVxtag,2021-05-30,48
xvsvhlVxtag,2021-05-31,43
xvsvhlVxtag,2021-06-01,42
xvsvhlVxtag,2021-06-02,54
xvsvhlVxtag,2021-06-03,47
xvsvhlVxtag,2021-06-04,42
xvsvhlVxtag,2021-06-05,29
xvsvhlVxtag,2021-06-06,37
xvsvhlVxtag,2021-06-07,27
xvsvhlVxtag,2021-06-08,30
xvsvhlVxtag,2021-06-09,27
xvsvhlVxtag,2021-06-10,33
xvsvhlVxtag,2021-06-11,28
xvsvhlVxtag,2021-06-12,33
xvsvhlVxtag,2021-06-13,27
xvsvhlVxtag,2021-06-14,19
xvsvhlVxtag,2021-06-15,35
xvsvhlVxtag,2021-06-16,29
xvsvhlVxtag,2021-06-17,36
xvsvhlVxtag,2021-06-18,27
xvsvhlVxtag,2021-06-19,44
xvsvhlVxtag,2021-06-20,33
xvsvhlVxtag,2021-06-21,34
xvsvhlVxtag,2021-06-22,31
xvsvhlVxtag,2021-06-23,43
xvsvhlVxtag,2021-06-24,60
xvsvhlVxtag,2021-06-25,53
xvsvhlVxtag,2021-06-26,47
xvsvhlVxtag,2021-06-27,50
xvsvhlVxtag,2021-06-28,28
xvsvhlVxtag,2021-06-29,27
xvsvhlVxtag,2021-06-30,46
xvsvhlVxtag,2021-07-01,60
xvsvhlVxtag,2021-07-02,44
xvsvhlVxtag,2021-07-03,37
xvsvhlVxtag,2021-07-04,53
xvsvhlVxtag,2021-07-05,36
xvsvhlVxtag,2021-07-06,38
xvsvhlVxtag,2021-07-07,21
xvsvhlVxtag,2021-07-08,43
xvsvhlVxtag,2021-07-09,49
xvsvhlVxtag,2021-07-10,39
xvsvhlVxtag,2021-07-11,31
xvsvhlVxtag,2021-07-12,34
xvsvhlVxtag,2021-07-13,49
xvsvhlVxtag,2021-07-14,62
xvsvhlVxtag,2021-07-15,58
xvsvhlVxtag,2021-07-16,48
xvsvhlVxtag,2021-07-17,42
xvsvhlVxtag,2021-07-18,63
xvsvhlVxtag,2021-07-19,61
xvsvhlVxtag,2021-07-20,46
xvsvhlVxtag,2021-07-21,38
xvsvhlVxtag,2021-07-22,46
xvsvhlVxtag,2021-07-23,46
xvsvhlVxtag,2021-07-24,42
xvsvhlVxtag,2021-07-25,58
xvsvhlVxtag,2021-07-26,39
xvsvhlVxtag,2021-07-27,45
xvsvhlVxtag,2021-07-28,41
xvsvhlVxtag,2021-07-29,35
xvsvhlVxtag,2021-07-30,36
xvsvhlVxtag,2021-07-31,27
xvsvhlVxtag,2021-08-01,31
xvsvhlVxtag,2021-08-02,27
xvsvhlVxtag,2021-08-03,30
xvsvhlVxtag,2021-08-04,24
xvsvhlVxtag,2021-08-05,21
xvsvhlVxtag,2021-08-06,15
xvsvhlVxtag,2021-08-07,18
xvsvhlVxtag,2021-08-08,22
xvsvhlVxtag,2021-08-09,29
xvsvhlVxtag,2021-08-10,18
xvsvhlVxtag,2021-08-11,22
xvsvhlVxtag,2021-08-12,28
xvsvhlVxtag,2021-08-13,27
xvsvhlVxtag,2021-08-14,22
xvsvhlVxtag,2021-08-15,26
xvsvhlVxtag,2021-08-16,17
xvsvhlVxtag,2021-08-17,16
xvsvhlVxtag,2021-08-18,28
xvsvhlVxtag,2021-08-19,14
xvsvhlVxtag,2021-08-20,12
xvsvhlVxtag,2021-08-21,13
xvsvhlVxtag,2021-08-22,8
xvsvhlVxtag,2021-08-23,9
xvsvhlVxtag,2021-08-24,13
xvsvhlVxtag,2021-08-25,19
xvsvhlVxtag,2021-08-26,21
xvsvhlVxtag,2021-08-27,16
xvsvhlVxtag,2021-08-28,15
xvsvhlVxtag,2021-08-29,24
xvsvhlVxtag,2021-08-30,30
