day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-10-07,21924,1780,83,1235,20,991,111,48,167999,15330,459,63.24000000000001,0,0,0,0,0,0,0,0.061200000000000004,0.0039000000000000003,49,6352,3,25,49,8
2019-10-08,36349,2224,84,1285,25,956,300,85,260686,18104,430,59.19,0,0,0,0,0,0,0,0.07690000000000001,0.0034000000000000002,78,9545,6,32,101,7
2019-10-09,10719,608,19,306,11,213,151,36,69271,4502,387,53.339999999999996,0,0,0,0,0,0,0,0.0,0.0031,21,2575,0,8,37,3
2019-10-10,4333,265,6,146,3,85,83,12,28051,1919,388,53.43,0,0,0,0,0,0,0,0.11109999999999999,0.0037,9,1082,1,4,14,4
2019-10-11,3054,202,5,92,0,70,55,9,20654,1644,405,55.82,0,0,0,0,0,0,0,0.1429,0.0026,7,771,1,2,8,4
2019-10-12,2304,136,3,60,1,43,50,8,16453,1164,428,58.93999999999999,0,0,0,0,0,0,0,0.0,0.0016,6,620,0,1,10,2
2019-10-13,2165,114,3,76,2,44,37,8,15546,900,430,59.260000000000005,0,0,0,0,0,0,0,0.125,0.004699999999999999,8,634,1,3,14,1
2019-10-14,1523,95,3,60,0,46,38,4,11472,807,451,62.17,0,0,0,0,0,0,0,0.0,0.0040999999999999995,7,486,0,2,9,1
2019-10-15,985,54,2,37,1,18,25,4,7566,465,460,63.4,0,0,0,0,0,0,0,0.2,0.0165,5,303,1,5,6,3
2019-10-16,712,60,1,22,0,14,36,1,5028,463,423,58.28,0,0,0,0,0,0,0,0.0,0.0,0,199,0,0,5,1
2019-10-17,524,46,1,15,0,7,15,2,3645,353,417,57.42,0,0,0,0,0,0,0,0.0,0.0,2,156,0,0,0,1
2019-10-18,622,42,3,25,0,14,20,1,4854,375,468,64.41,0,0,0,0,0,0,0,0.3333,0.0054,3,186,1,1,3,0
2019-10-19,829,70,0,26,0,10,18,4,6621,653,479,65.93,0,0,0,0,0,0,0,0.4,0.0115,5,260,2,3,2,0
2019-10-20,856,77,2,21,0,10,16,5,6071,687,425,58.540000000000006,0,0,0,0,0,0,0,0.5,0.0044,2,227,1,1,3,0
2019-10-21,727,45,2,17,1,7,13,7,4766,359,393,54.11,0,0,0,0,0,0,0,0.0,0.016399999999999998,3,183,0,3,5,1
2019-10-22,531,41,0,6,0,6,10,4,3919,367,442,60.919999999999995,0,0,0,0,0,0,0,0.0,0.0,1,155,0,0,3,0
2019-10-23,452,36,0,10,0,8,7,1,2965,272,393,54.14,0,0,0,0,0,0,0,0.0,0.0085,1,118,0,1,2,0
2019-10-24,391,34,0,11,0,7,12,0,2608,243,400,55.059999999999995,0,0,0,0,0,0,0,0.0,0.0,0,106,0,0,2,0
2019-10-25,326,29,1,5,0,10,6,1,2097,228,386,53.11,0,0,0,0,0,0,0,0.0,0.013300000000000001,1,75,0,1,1,0
2019-10-26,372,30,2,14,0,5,9,1,2453,270,395,54.43,0,0,0,0,0,0,0,0.0,0.0,0,80,0,0,1,0
2019-10-27,325,15,0,11,0,7,8,2,2271,134,419,57.67,0,0,0,0,0,0,0,0.0,0.0111,1,90,0,1,1,0
2019-10-28,341,33,0,14,0,2,13,0,2246,245,395,54.36,0,0,0,0,0,0,0,0.0,0.0,0,104,0,0,1,1
2019-10-29,242,20,1,8,0,5,12,2,1625,153,402,55.42,0,0,0,0,0,0,0,0.0,0.0,0,72,0,0,1,0
2019-10-30,220,16,0,5,0,1,11,1,1485,129,405,55.71,0,0,0,0,0,0,0,0.0,0.015600000000000001,2,64,0,1,0,0
2019-10-31,187,13,0,3,1,4,5,0,1309,135,420,57.769999999999996,0,0,0,0,0,0,0,0.0,0.0,0,64,0,0,0,0
2019-11-01,258,23,1,10,0,1,8,1,2085,192,485,66.72,0,0,0,0,0,0,0,0.0,0.013000000000000001,1,77,0,1,2,0
2019-11-02,281,18,0,6,0,3,8,0,2136,158,456,62.75999999999999,0,0,0,0,0,0,0,0.0,0.0105,2,95,0,1,1,0
2019-11-03,232,20,0,5,0,3,7,1,1724,182,446,61.36000000000001,0,0,0,0,0,0,0,0.0,0.0,0,69,0,0,2,0
2019-11-04,244,16,0,4,0,2,6,0,1564,163,384,52.93,0,0,0,0,0,0,0,0.0,0.0167,1,60,0,1,1,0
2019-11-05,234,14,1,3,0,2,4,0,1688,117,432,59.56,0,0,0,0,0,0,0,0.2,0.048799999999999996,5,82,1,4,0,0
2019-11-06,190,26,0,6,0,2,11,0,1346,200,425,58.48,0,0,0,0,0,0,0,0.0,0.0,0,54,0,0,0,0
2019-11-07,179,18,0,2,0,1,2,1,1262,140,423,58.21000000000001,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,0,0
2019-11-08,185,18,0,4,0,1,6,3,1332,156,432,59.43000000000001,0,0,0,0,0,0,0,0.0,0.0175,1,57,0,1,0,0
2019-11-09,204,10,0,7,0,2,4,1,1509,78,443,61.07,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,0,0
2019-11-10,233,7,0,4,0,4,5,0,1642,71,422,58.160000000000004,0,0,0,0,0,0,0,0.0,0.0,1,76,0,0,0,0
2019-11-11,194,13,0,2,0,2,4,2,1461,101,452,62.2,0,0,0,0,0,0,0,0.0,0.0172,1,58,0,1,0,0
2019-11-12,149,11,0,3,0,0,4,0,1005,97,404,55.69,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,0,0
2019-11-13,147,14,0,5,0,4,2,1,977,122,399,54.89999999999999,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,0,0
2019-11-14,148,9,0,2,0,2,7,0,1015,82,411,56.61000000000001,0,0,0,0,0,0,0,0.0,0.0,0,42,0,0,2,0
2019-11-15,187,5,0,4,0,1,0,1,1271,53,407,56.11000000000001,0,0,0,0,0,0,0,0.0,0.0,0,53,0,0,0,0
2019-11-16,153,12,1,2,0,1,5,2,1042,109,408,56.26,0,0,0,0,0,0,0,0.0,0.0,1,36,0,0,0,0
2019-11-17,139,9,1,7,0,2,3,0,1023,62,441,60.75000000000001,0,0,0,0,0,0,0,0.0,0.0,0,45,0,0,0,0
2019-11-18,101,9,0,2,0,3,6,0,727,92,431,59.41,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,0,0
2019-11-19,593,49,0,8,0,4,3,0,4936,417,499,68.71,0,0,0,0,0,0,0,0.0,0.0,2,171,0,0,0,0
2019-11-20,745,45,0,11,0,18,5,0,5435,351,437,60.22,0,0,0,0,0,0,0,0.0,0.0,0,198,0,0,2,0
2019-11-21,561,30,0,6,0,3,2,4,3569,276,381,52.51,0,0,0,0,0,0,0,0.0,0.0,1,112,0,0,3,0
2019-11-22,477,15,0,6,0,8,1,0,2892,142,363,50.05,0,0,0,0,0,0,0,0.0,0.0,0,87,0,0,0,1
2019-11-23,374,21,2,5,1,4,2,0,2242,141,359,49.49,0,0,0,0,0,0,0,0.6667000000000001,0.0333,3,60,2,2,2,0
2019-11-24,175,10,0,3,0,3,4,0,1130,106,387,53.29999999999999,0,0,0,0,0,0,0,0.0,0.0,1,41,0,0,0,0
2019-11-25,139,4,0,3,0,1,4,0,852,48,367,50.59,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,2,0
2019-11-26,261,22,0,7,0,1,3,0,1954,177,449,61.82,0,0,0,0,0,0,0,0.0,0.0,0,57,0,0,0,0
2019-11-27,222,13,0,6,0,1,4,0,1649,142,445,61.31999999999999,0,0,0,0,0,0,0,0.0,0.0,0,56,0,0,1,0
2019-11-28,198,10,0,3,0,4,3,0,1273,76,385,53.06999999999999,0,0,0,0,0,0,0,0.0,0.0159,1,63,0,1,0,0
2019-11-29,148,10,0,2,0,0,3,0,1039,89,421,57.989999999999995,0,0,0,0,0,0,0,0.0,0.0,0,45,0,0,0,0
2019-11-30,117,6,1,4,0,2,2,0,785,45,402,55.38000000000001,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,0,0
2019-12-01,155,16,0,1,0,4,5,1,1032,145,399,54.96,0,0,0,0,0,0,0,0.0,0.0,0,38,0,0,0,0
2019-12-02,138,9,0,4,0,2,2,0,1008,48,438,60.28,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,1,0
2019-12-03,100,7,0,2,0,1,4,0,672,49,403,55.48,0,0,0,0,0,0,0,1.0,0.0333,1,30,1,1,1,0
2019-12-04,170,11,2,5,0,1,4,0,1316,120,464,63.92,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,0,0
2019-12-05,242,17,0,8,0,5,2,0,1797,131,445,61.3,0,0,0,0,0,0,0,0.3333,0.0253,3,79,1,2,1,0
2019-12-06,698,35,2,16,1,10,3,0,4884,277,419,57.75,0,0,0,0,0,0,0,0.0,0.0,0,178,0,0,0,0
2019-12-07,574,34,0,6,0,5,2,0,3721,194,388,53.5,0,0,0,0,0,0,0,0.0,0.0068000000000000005,1,148,0,1,2,0
2019-12-08,436,30,1,9,0,8,4,1,2915,251,401,55.19,0,0,0,0,0,0,0,0.0,0.0,2,120,0,0,0,0
2019-12-09,335,14,1,6,1,4,4,1,2243,96,401,55.26,0,0,0,0,0,0,0,0.0,0.0,0,97,0,0,0,0
2019-12-10,267,14,1,5,0,5,3,0,1926,141,432,59.56,0,0,0,0,0,0,0,0.0,0.0,0,77,0,0,1,0
2019-12-11,229,15,0,6,0,4,3,0,1623,143,425,58.53,0,0,0,0,0,0,0,0.0,0.0196,1,51,0,1,0,0
2019-12-12,201,7,0,0,1,2,0,0,1276,55,381,52.43,0,0,0,0,0,0,0,0.0,0.0,0,50,0,0,0,0
2019-12-13,208,14,0,1,0,3,1,1,1402,121,404,55.66,0,0,0,0,0,0,0,0.25,0.0638,4,47,1,3,0,0
2019-12-14,270,16,0,5,0,9,7,2,1992,148,442,60.91,0,0,0,0,0,0,0,0.0,0.0147,1,68,0,1,1,0
2019-12-15,319,23,0,9,0,2,3,0,2387,192,449,61.78,0,0,0,0,0,0,0,0.0,0.0,0,92,0,0,0,0
2019-12-16,446,29,0,9,0,8,0,3,3318,260,446,61.41,0,0,0,0,0,0,0,0.0,0.0,1,111,0,0,0,0
2019-12-17,542,29,0,11,0,6,5,1,3886,261,430,59.18,0,0,0,0,0,0,0,0.0,0.0,1,157,0,0,0,0
2019-12-18,492,27,0,11,1,18,2,0,3248,194,396,54.49,0,0,0,0,0,0,0,0.25,0.0163,4,123,1,2,0,0
2019-12-19,642,27,1,14,0,11,2,0,4518,261,422,58.08,0,0,0,0,0,0,0,0.0,0.0,1,184,0,0,1,0
2019-12-20,650,35,1,11,0,6,4,1,4585,319,423,58.21999999999999,0,0,0,0,0,0,0,0.0,0.0,1,164,0,0,4,0
2019-12-21,365,18,0,11,0,8,1,1,2770,178,455,62.63999999999999,0,0,0,0,0,0,0,0.0,0.0104,4,96,0,1,0,0
2019-12-22,314,17,0,8,0,3,5,0,2217,149,423,58.28,0,0,0,0,0,0,0,0.0,0.0,1,79,0,0,1,0
2019-12-23,277,10,2,11,0,4,1,1,2174,73,471,64.8,0,0,0,0,0,0,0,0.0,0.0,0,87,0,0,3,0
2019-12-24,230,6,0,4,0,6,2,2,1642,42,428,58.92000000000001,0,0,0,0,0,0,0,0.0,0.0,1,62,0,0,0,0
2019-12-25,171,4,0,3,0,3,2,0,1009,45,354,48.71,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,3,0
2019-12-26,143,6,0,1,0,4,0,0,981,25,411,56.65,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,0,0
2019-12-27,161,9,0,8,0,1,7,0,1186,97,442,60.83,0,0,0,0,0,0,0,0.0,0.0,0,48,0,0,0,0
2019-12-28,103,4,0,3,0,2,2,0,757,47,441,60.72,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,2,0
2019-12-29,97,8,0,2,0,2,5,1,688,83,425,58.540000000000006,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,0,0
2019-12-30,135,9,0,5,0,0,4,0,1002,88,445,61.28,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,0,0
2019-12-31,92,4,0,3,0,1,1,1,597,35,389,53.57999999999999,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,0,0
2020-01-01,128,8,0,5,0,2,1,0,1026,77,481,66.2,0,0,0,0,0,0,0,0.0,0.0,0,45,0,0,0,0
2020-01-02,135,9,1,4,0,1,3,1,898,89,399,54.94,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,0,0
2020-01-03,120,4,0,2,0,0,0,0,870,28,435,59.86,0,0,0,0,0,0,0,0.0,0.0,1,36,0,0,0,0
2020-01-04,138,2,0,2,0,0,3,0,972,23,422,58.18,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2020-01-05,147,13,0,5,0,1,0,0,1162,113,474,65.24,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,0,0
2020-01-06,113,10,0,4,0,2,1,0,862,90,458,63.01,0,0,0,0,0,0,0,0.0,0.0278,1,36,0,1,0,0
2020-01-07,137,6,0,1,0,0,1,0,847,46,371,51.05,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,1,0
2020-01-08,139,7,1,2,0,3,2,0,1085,72,468,64.46,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,1,0
2020-01-09,169,6,1,4,0,3,2,0,1301,56,461,63.54,0,0,0,0,0,0,0,0.0,0.0,1,29,0,0,0,0
2020-01-10,174,9,0,1,0,2,1,1,1425,85,491,67.61,0,0,0,0,0,0,0,0.0,0.0263,1,38,0,1,0,0
2020-01-11,184,11,0,-1,0,1,4,0,1291,111,420,57.91,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2020-01-12,191,12,0,3,0,1,0,0,1520,133,477,65.71,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,0,0
2020-01-13,157,10,0,1,0,2,4,0,1292,105,494,67.96,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,0,0
2020-01-14,253,10,1,3,0,4,0,1,1748,61,414,57.03,0,0,0,0,0,0,0,0.0,0.0,0,60,0,0,0,0
2020-01-15,268,14,0,6,0,3,1,1,1978,105,442,60.92999999999999,0,0,0,0,0,0,0,0.0,0.0,0,66,0,0,1,0
2020-01-16,239,11,0,2,0,3,3,0,1774,96,445,61.27,0,0,0,0,0,0,0,0.0,0.0,0,63,0,0,1,0
2020-01-17,150,19,1,3,0,1,2,1,1074,170,429,59.099999999999994,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2020-01-18,154,7,0,3,0,4,4,0,1189,62,463,63.739999999999995,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,0,0
2020-01-19,145,11,1,1,0,1,1,0,1119,111,463,63.7,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,0,0
2020-01-20,125,9,0,4,0,0,1,0,887,57,426,58.62,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,1,0
2020-01-21,94,3,0,1,0,0,2,0,683,17,436,60.04999999999999,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,1,0
2020-01-22,123,4,0,3,0,3,0,1,870,33,424,58.379999999999995,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2020-01-23,88,5,0,-1,0,2,0,0,612,53,417,57.440000000000005,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,0,0
2020-01-24,97,8,0,2,0,3,2,0,657,74,406,55.96,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2020-01-25,92,8,0,3,0,212,10,0,689,72,449,61.88,0,0,0,0,0,0,0,0.0,0.0,1,31,0,0,0,0
2020-01-26,175,9,0,2,0,2,0,0,1302,79,446,61.44,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,1,0
2020-01-27,337,25,1,7,0,6,3,0,2354,171,419,57.66,0,0,0,0,0,0,0,0.0,0.0,0,83,0,0,0,0
2020-01-28,212,18,1,1,0,1,0,3,1508,152,426,58.709999999999994,0,0,0,0,0,0,0,0.0,0.0,0,65,0,0,0,0
2020-01-29,285,15,0,6,0,1,1,1,2093,132,440,60.63000000000001,0,0,0,0,0,0,0,0.0,0.0,1,89,0,0,0,0
2020-01-30,187,11,0,7,0,2,2,1,1259,122,403,55.57,0,0,0,0,0,0,0,0.0,0.0169,1,59,0,1,0,0
2020-01-31,165,12,2,4,1,3,2,0,1058,104,384,52.959999999999994,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,0,0
2020-02-01,155,8,0,3,1,1,0,0,1126,73,436,59.98,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,1,0
2020-02-02,127,9,0,5,0,0,2,0,1018,68,481,66.19,0,0,0,0,0,0,0,0.0,0.0,2,27,0,0,0,0
2020-02-03,94,5,0,8,-1,2,2,1,732,36,467,64.28,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,0,0
2020-02-04,138,15,0,4,0,2,0,0,1045,92,454,62.519999999999996,0,0,0,0,0,0,0,0.0,0.122,5,41,0,5,0,0
2020-02-05,121,6,1,1,0,0,2,0,1007,60,499,68.71,0,0,0,0,0,0,0,0.5,0.0,4,42,2,0,0,0
2020-02-06,119,10,0,1,0,3,1,0,832,79,419,57.72999999999999,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,1,0
2020-02-07,94,6,0,2,0,0,2,0,654,39,417,57.489999999999995,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,0,0
2020-02-08,279,16,0,8,0,2,0,0,2127,91,457,62.94,0,0,0,0,0,0,0,0.0,0.0,0,65,0,0,1,0
2020-02-09,358,22,0,1,0,2,2,0,2827,211,473,65.19,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,1,0
2020-02-10,176,8,1,5,0,4,0,0,1241,57,423,58.22999999999999,0,0,0,0,0,0,0,0.0,0.0,1,44,0,0,0,0
2020-02-11,157,10,1,2,0,1,0,2,1182,109,452,62.18,0,0,0,0,0,0,0,0.0,0.0,1,38,0,0,0,0
2020-02-12,165,6,0,1,0,3,3,1,1200,54,436,60.06,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,0,0
2020-02-13,203,13,0,4,0,3,4,0,1453,137,429,59.099999999999994,0,0,0,0,0,0,0,0.0,0.0,0,57,0,0,3,0
2020-02-14,136,6,0,0,0,2,1,1,1003,56,442,60.91,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,0,0
2020-02-15,103,12,0,1,0,1,2,0,829,126,483,66.45,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,1,0
2020-02-16,94,2,0,2,0,1,1,0,672,24,428,59.0,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,1,0
2020-02-17,117,6,0,2,0,1,1,2,807,72,414,56.98,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,0,0
2020-02-18,89,4,0,4,0,3,0,0,555,35,374,51.55,0,0,0,0,0,0,0,0.0,0.0,1,28,0,0,0,0
2020-02-19,135,8,0,1,0,2,1,2,947,67,421,57.93000000000001,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,0,0
2020-02-20,108,9,0,1,0,0,2,1,766,82,425,58.56,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,0,0
2020-02-21,287,31,0,4,0,6,0,0,2172,265,454,62.470000000000006,0,0,0,0,0,0,0,0.0,0.013500000000000002,1,74,0,1,0,0
2020-02-22,363,21,1,6,1,4,2,0,2613,128,431,59.41,0,0,0,0,0,0,0,0.0,0.0,0,70,0,0,0,0
2020-02-23,160,10,0,4,0,3,1,0,1269,110,476,65.51,0,0,0,0,0,0,0,0.0,0.0,0,48,0,0,0,0
2020-02-24,123,7,0,2,0,0,1,0,938,65,457,62.95,0,0,0,0,0,0,0,0.0,0.0,1,37,0,0,0,0
2020-02-25,93,7,0,0,0,2,1,0,665,60,429,59.03,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,0,0
2020-02-26,91,4,0,3,0,1,2,0,608,45,401,55.22,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,2,1
2020-02-27,88,4,0,0,0,2,0,0,632,45,431,59.31000000000001,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,1,0
2020-02-28,68,3,0,2,0,1,3,0,512,33,452,62.22,0,0,0,0,0,0,0,0.0,0.0,0,16,0,0,0,0
2020-02-29,82,8,0,3,0,2,5,0,598,75,438,60.27,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,0,0
2020-03-01,102,9,0,3,0,2,3,0,811,80,477,65.65,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,0,0
2020-03-02,295,18,0,4,0,7,4,1,2251,160,458,63.0,0,0,0,0,0,0,0,0.0,0.0241,1,83,0,2,0,0
