videoID,day,likes
y3gh7D3Er0U,2019-10-07,1235
y3gh7D3Er0U,2019-10-08,1285
y3gh7D3Er0U,2019-10-09,306
y3gh7D3Er0U,2019-10-10,146
y3gh7D3Er0U,2019-10-11,92
y3gh7D3Er0U,2019-10-12,60
y3gh7D3Er0U,2019-10-13,76
y3gh7D3Er0U,2019-10-14,60
y3gh7D3Er0U,2019-10-15,37
y3gh7D3Er0U,2019-10-16,22
y3gh7D3Er0U,2019-10-17,15
y3gh7D3Er0U,2019-10-18,25
y3gh7D3Er0U,2019-10-19,26
y3gh7D3Er0U,2019-10-20,21
y3gh7D3Er0U,2019-10-21,17
y3gh7D3Er0U,2019-10-22,6
y3gh7D3Er0U,2019-10-23,10
y3gh7D3Er0U,2019-10-24,11
y3gh7D3Er0U,2019-10-25,5
y3gh7D3Er0U,2019-10-26,14
y3gh7D3Er0U,2019-10-27,11
y3gh7D3Er0U,2019-10-28,14
y3gh7D3Er0U,2019-10-29,8
y3gh7D3Er0U,2019-10-30,5
y3gh7D3Er0U,2019-10-31,3
y3gh7D3Er0U,2019-11-01,10
y3gh7D3Er0U,2019-11-02,6
y3gh7D3Er0U,2019-11-03,5
y3gh7D3Er0U,2019-11-04,4
y3gh7D3Er0U,2019-11-05,3
y3gh7D3Er0U,2019-11-06,6
y3gh7D3Er0U,2019-11-07,2
y3gh7D3Er0U,2019-11-08,4
y3gh7D3Er0U,2019-11-09,7
y3gh7D3Er0U,2019-11-10,4
y3gh7D3Er0U,2019-11-11,2
y3gh7D3Er0U,2019-11-12,3
y3gh7D3Er0U,2019-11-13,5
y3gh7D3Er0U,2019-11-14,2
y3gh7D3Er0U,2019-11-15,4
y3gh7D3Er0U,2019-11-16,2
y3gh7D3Er0U,2019-11-17,7
y3gh7D3Er0U,2019-11-18,2
y3gh7D3Er0U,2019-11-19,8
y3gh7D3Er0U,2019-11-20,11
y3gh7D3Er0U,2019-11-21,6
y3gh7D3Er0U,2019-11-22,6
y3gh7D3Er0U,2019-11-23,5
y3gh7D3Er0U,2019-11-24,3
y3gh7D3Er0U,2019-11-25,3
y3gh7D3Er0U,2019-11-26,7
y3gh7D3Er0U,2019-11-27,6
y3gh7D3Er0U,2019-11-28,3
y3gh7D3Er0U,2019-11-29,2
y3gh7D3Er0U,2019-11-30,4
y3gh7D3Er0U,2019-12-01,1
y3gh7D3Er0U,2019-12-02,4
y3gh7D3Er0U,2019-12-03,2
y3gh7D3Er0U,2019-12-04,5
y3gh7D3Er0U,2019-12-05,8
y3gh7D3Er0U,2019-12-06,16
y3gh7D3Er0U,2019-12-07,6
y3gh7D3Er0U,2019-12-08,9
y3gh7D3Er0U,2019-12-09,6
y3gh7D3Er0U,2019-12-10,5
y3gh7D3Er0U,2019-12-11,6
y3gh7D3Er0U,2019-12-12,0
y3gh7D3Er0U,2019-12-13,1
y3gh7D3Er0U,2019-12-14,5
y3gh7D3Er0U,2019-12-15,9
y3gh7D3Er0U,2019-12-16,9
y3gh7D3Er0U,2019-12-17,11
y3gh7D3Er0U,2019-12-18,11
y3gh7D3Er0U,2019-12-19,14
y3gh7D3Er0U,2019-12-20,11
y3gh7D3Er0U,2019-12-21,11
y3gh7D3Er0U,2019-12-22,8
y3gh7D3Er0U,2019-12-23,11
y3gh7D3Er0U,2019-12-24,4
y3gh7D3Er0U,2019-12-25,3
y3gh7D3Er0U,2019-12-26,1
y3gh7D3Er0U,2019-12-27,8
y3gh7D3Er0U,2019-12-28,3
y3gh7D3Er0U,2019-12-29,2
y3gh7D3Er0U,2019-12-30,5
y3gh7D3Er0U,2019-12-31,3
y3gh7D3Er0U,2020-01-01,5
y3gh7D3Er0U,2020-01-02,4
y3gh7D3Er0U,2020-01-03,2
y3gh7D3Er0U,2020-01-04,2
y3gh7D3Er0U,2020-01-05,5
y3gh7D3Er0U,2020-01-06,4
y3gh7D3Er0U,2020-01-07,1
y3gh7D3Er0U,2020-01-08,2
y3gh7D3Er0U,2020-01-09,4
y3gh7D3Er0U,2020-01-10,1
y3gh7D3Er0U,2020-01-11,-1
y3gh7D3Er0U,2020-01-12,3
y3gh7D3Er0U,2020-01-13,1
y3gh7D3Er0U,2020-01-14,3
y3gh7D3Er0U,2020-01-15,6
y3gh7D3Er0U,2020-01-16,2
y3gh7D3Er0U,2020-01-17,3
y3gh7D3Er0U,2020-01-18,3
y3gh7D3Er0U,2020-01-19,1
y3gh7D3Er0U,2020-01-20,4
y3gh7D3Er0U,2020-01-21,1
y3gh7D3Er0U,2020-01-22,3
y3gh7D3Er0U,2020-01-23,-1
y3gh7D3Er0U,2020-01-24,2
y3gh7D3Er0U,2020-01-25,3
y3gh7D3Er0U,2020-01-26,2
y3gh7D3Er0U,2020-01-27,7
y3gh7D3Er0U,2020-01-28,1
y3gh7D3Er0U,2020-01-29,6
y3gh7D3Er0U,2020-01-30,7
y3gh7D3Er0U,2020-01-31,4
y3gh7D3Er0U,2020-02-01,3
y3gh7D3Er0U,2020-02-02,5
y3gh7D3Er0U,2020-02-03,8
y3gh7D3Er0U,2020-02-04,4
y3gh7D3Er0U,2020-02-05,1
y3gh7D3Er0U,2020-02-06,1
y3gh7D3Er0U,2020-02-07,2
y3gh7D3Er0U,2020-02-08,8
y3gh7D3Er0U,2020-02-09,1
y3gh7D3Er0U,2020-02-10,5
y3gh7D3Er0U,2020-02-11,2
y3gh7D3Er0U,2020-02-12,1
y3gh7D3Er0U,2020-02-13,4
y3gh7D3Er0U,2020-02-14,0
y3gh7D3Er0U,2020-02-15,1
y3gh7D3Er0U,2020-02-16,2
y3gh7D3Er0U,2020-02-17,2
y3gh7D3Er0U,2020-02-18,4
y3gh7D3Er0U,2020-02-19,1
y3gh7D3Er0U,2020-02-20,1
