day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,1239,89,1,19,0,6,1,1,11596,860,561,73.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-01-02,1379,90,1,15,2,7,1,1,12783,781,556,72.8,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1,8,0
2019-01-03,1308,74,1,15,1,16,6,1,11746,709,538,70.53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-01-04,1174,70,0,14,1,12,6,1,10562,632,539,70.66,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,1
2019-01-05,1052,65,1,17,0,8,4,0,9691,588,552,72.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-01-06,1047,66,2,12,1,7,2,0,9520,709,545,71.41,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,9,0
2019-01-07,957,64,0,13,0,7,5,7,8964,643,562,73.57,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,3,0
2019-01-08,778,50,0,9,0,4,3,5,7131,493,550,71.99,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,4,0
2019-01-09,1086,57,1,6,0,9,5,0,10507,621,580,75.99,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-10,2064,109,0,14,0,6,1,2,21114,1139,613,80.34,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
2019-01-11,2476,154,1,14,1,6,2,4,24634,1480,596,78.14,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,11,0
2019-01-12,2235,146,0,17,0,22,5,2,22296,1484,598,78.35,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,3,0
2019-01-13,2160,151,0,26,0,16,1,2,20663,1472,573,75.13,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,8,0
2019-01-14,1689,108,1,17,0,6,3,1,16311,1041,579,75.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-15,1502,92,1,26,0,9,2,1,14435,851,576,75.48,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,0
2019-01-16,1462,86,0,21,0,5,7,1,14099,824,578,75.74,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,5,0
2019-01-17,1174,61,1,17,0,11,5,1,11217,617,573,75.04,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,6,0
2019-01-18,1485,97,0,19,0,10,1,5,14936,1020,603,78.99,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,3,0
2019-01-19,1706,98,1,15,0,7,2,2,17295,979,608,79.62,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,4,0
2019-01-20,1656,122,1,8,1,12,4,0,16720,1156,605,79.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-21,1709,103,1,10,0,4,2,5,17185,1055,603,78.97,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,5,0
2019-01-22,1610,91,0,10,0,10,8,3,16074,964,599,78.41,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,9,0
2019-01-23,1639,106,1,16,0,2,2,4,16819,1106,615,80.59,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0
2019-01-24,1607,98,2,14,0,6,3,2,16084,1050,600,78.61,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,8,0
2019-01-25,1670,86,1,18,0,7,3,4,16410,873,589,77.17,0,0,0,0,0,0,0,0.0,0.0,2,0,0,1,9,1
2019-01-26,1626,85,0,13,1,10,2,2,16205,897,598,78.27,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
2019-01-27,1566,104,0,6,0,10,5,1,15530,1066,595,77.88,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
