channelID,channelName,title,videoIDs,video_description,publishedDate,likes,views,comment,video_length,length_in_seconds,thumbnail
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Unboxing our magazine...,7bOcj90rUNM,"Creator Mag.1 is available now! Pick one up at https://powderblue.media/shop

Sign up for future drops: https://laylo.com/powderblue
Follow Nate: https://twitter.com/bynategl
Follow Powder Blue: https://twitter.com/powderbluemedia",2022-02-17T19:17:46Z,9,108,1,00:00:29,29,https://i.ytimg.com/vi/7bOcj90rUNM/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,How Nadeshot Built the World of 100 Thieves,Cd_MVZ2mFqU,"Before you tell your story, first, you need to make your map.

Creators like us are small companies, and if we craft our own evergreen worlds, we can defy Father Time and make things that last. For Essay 5, we looked at Matthew ""Nadeshot"" Haag and the steps he took to build the world of 100 Thieves.

Season.1, dubbed 'Transitions,' is all about reflecting on Powder Blue's past while introducing our future building as partner with creators to build their worlds. Sign up at laylo.com/powderblue to get notified of all future content and product drops.

Create your own Synergy Map with our free template: https://powderblue.media/worlds

Read Creator Mag.1: https://powderblue.media/mag

Shop Season.1: https://powderblue.media/shop

Thanks to Isabelle Jocelyn for her audio editing work, as well as Bobby Hundreds, Dan Runcie, Colin and Samir, Casey Neistat, and Nadeshot himself for inspiring this essay.",2021-12-24T01:00:11Z,14,266,10,00:12:42,762,https://i.ytimg.com/vi/Cd_MVZ2mFqU/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Gambino Doctrine,HNJCY46whdo,"In 2013, Donald Glover built the evergreen world of ""Because the Internet."" But just prior, the artist was dealing with loneliness, struggling to figure out his purpose in life. For Essay 4, we take a look at Glover's journey towards finding beauty in existential dread.

Season 1, dubbed 'Transitions,' is all about reflecting on Powder Blue's past while introducing our future as we release the first-ever magazine dedicated to covering the creator economy. Sign up at laylo.com/powderblue to get notified of all future content and product drops.

Thanks to Cam Ostrander, Cole Cuchna, and the entire Dissect Podcast team for inspiring this essay! I couldn't have done it without them and their work -- check them out at dissectpodcast.com.",2021-12-15T01:00:11Z,22,236,6,00:15:46,946,https://i.ytimg.com/vi/HNJCY46whdo/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,How Tyler evolved #shorts,zlpZXRrpzRU,"It took a decade for Tyler, the Creator to move on from his early-days of shock-value music, yet even after a successful run of albums, he was still being labelled an outcast by his peers.

Essay 2, 'The Weirdos Are Winning,' is streaming now!",2021-12-11T04:25:23Z,1,12,0,00:00:56,56,https://i.ytimg.com/vi/zlpZXRrpzRU/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Floatin',GQ7NOsHA6ZI,"A recent college graduate drives north to try and figure his life out.

Season 1, dubbed 'Transitions,' is all about reflecting on Powder Blue's past while introducing our future as we release the first-ever magazine dedicated to covering the creator economy. Sign up at laylo.com/powderblue to get notified of all future content and product drops.

Music from BROCKHAMPTON, Encore Beats, Dijon, and Mac Miller.",2021-12-06T01:00:10Z,14,192,8,00:11:47,707,https://i.ytimg.com/vi/GQ7NOsHA6ZI/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Epilogue,lAMkZRakBq8,,2021-12-05T23:20:42Z,0,0,0,00:01:56,116,https://i9.ytimg.com/vi/lAMkZRakBq8/hqdefault.jpg?sqp=CLSU0JAG&rs=AOn4CLASBGrBxoledHSai_cpFWGXZesgRA
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Test Intro,3BmRWLt1EQ0,,2021-12-05T02:17:29Z,0,1,0,00:00:45,45,https://i9.ytimg.com/vi/3BmRWLt1EQ0/hqdefault.jpg?sqp=CLSU0JAG&rs=AOn4CLCIQlBcgF4u-6GnzU4gyAixDA7dJA
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,The Story of Tyler (Part 1) #shorts,PLNwojiUllc,"Growing up in Los Angeles, Tyler Okonma -- aka ""Tyler, the Creator"" -- was accustomed to being the odd one out.",2021-12-02T05:29:15Z,1,8,0,00:00:46,46,https://i.ytimg.com/vi/PLNwojiUllc/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,Andrew Callaghan's Reporting 🎤 #shorts,nCKgmtcj5-4,Andrew Callaghan's reporting balances comedy with journalism.,2021-11-29T05:35:13Z,2,52,0,00:01:00,60,https://i.ytimg.com/vi/nCKgmtcj5-4/hqdefault.jpg
UCysoqut76wsYjcTFQIXlkHw,Powder Blue,How Tyler Beat DJ Khaled #shorts,E__FKaycq9o,"In 2019, Tyler released his album Igor, topping charts and winning a Grammy. But peers like DJ Khaled didn’t always accept him, sometimes even making public comments for their hatred of his music.

Yet two years later, Tyler is headlining concerts and debuting at number one. By leaning in to what makes him unique, the artist is building something truly special.",2021-11-29T04:46:48Z,36,1044,0,00:00:36,36,https://i.ytimg.com/vi/E__FKaycq9o/hqdefault.jpg
