,videoID,channelID,elapsedVideoTimeRatio,relativeRetentionPerformance
0,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.01,0.42345
1,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.02,0.43195
2,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.03,0.4386
3,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.04,0.45275
4,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.05,0.48260000000000003
5,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.06,0.5218
6,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.07,0.55615
7,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.08,0.57555
8,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.09,0.5809
9,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.1,0.5797
10,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.11,0.5786
11,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.12,0.58025
12,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.13,0.58385
13,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.14,0.5868
14,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.15,0.5857
15,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.16,0.57795
16,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.17,0.5637
17,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.18,0.54775
18,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.19,0.53585
19,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.2,0.53025
20,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.21,0.5284
21,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.22,0.52615
22,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.23,0.52285
23,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.24,0.52255
24,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.25,0.53145
25,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.26,0.5526
26,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.27,0.58065
27,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.28,0.60265
28,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.29,0.60805
29,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.3,0.5952999999999999
30,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.31,0.5730500000000001
31,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.32,0.55555
32,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.33,0.5531
33,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.34,0.56585
34,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.35,0.5857
35,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.36,0.6032
36,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.37,0.6119
37,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.38,0.60915
38,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.39,0.5938
39,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.4,0.5673
40,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.41,0.53605
41,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.42,0.50855
42,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.43,0.4898
43,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.44,0.47985
44,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.45,0.47645
45,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.46,0.47635
46,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.47,0.4744
47,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.48,0.46515
48,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.49,0.44775
49,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.5,0.42855
50,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.51,0.4146
51,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.52,0.40815
52,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.53,0.40815
53,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.54,0.41335
54,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.55,0.4229
55,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.56,0.4354
56,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.57,0.4476
57,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.58,0.45589999999999997
58,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.59,0.45945
59,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.6,0.45815
60,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.61,0.4487
61,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.62,0.42875
62,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.63,0.40305
63,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.64,0.3835
64,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.65,0.37985
65,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.66,0.394
66,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.67,0.42185
67,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.68,0.4557
68,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.69,0.48515
69,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.7,0.50115
70,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.71,0.49945
71,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.72,0.48115
72,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.73,0.4514
73,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.74,0.41915
74,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.75,0.3928
75,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.76,0.37455
76,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.77,0.3621
77,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.78,0.3523
78,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.79,0.3423
79,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.8,0.3315
80,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.81,0.32275
81,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.82,0.31865
82,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.83,0.31825000000000003
83,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.84,0.31775
84,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.85,0.3139
85,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.86,0.3061
86,FYwwX2gZSR8,UC0Ize0RLIbGdH5x4wI45G-A,0.87,0.29664999999999997
