,videoID,channelID,elapsedVideoTimeRatio,relativeRetentionPerformance
0,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.01,0.3935
1,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.02,0.46225
2,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.03,0.50855
3,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.04,0.525
4,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.05,0.5308
5,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.06,0.5329
6,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.07,0.53365
7,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.08,0.53425
8,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.09,0.536
9,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.1,0.5405
10,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.11,0.54775
11,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.12,0.5563
12,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.13,0.5649500000000001
13,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.14,0.5732
14,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.15,0.5811999999999999
15,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.16,0.5884
16,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.17,0.59295
17,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.18,0.59445
18,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.19,0.5953999999999999
19,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.2,0.59865
20,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.21,0.60605
21,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.22,0.61815
22,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.23,0.6326
23,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.24,0.6433
24,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.25,0.64575
25,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.26,0.6414
26,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.27,0.6352
27,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.28,0.6295
28,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.29,0.62355
29,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.3,0.6169
30,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.31,0.6104
31,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.32,0.60485
32,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.33,0.59975
33,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.34,0.59285
34,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.35,0.58195
35,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.36,0.5659
36,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.37,0.545
37,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.38,0.5222
38,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.39,0.50155
39,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.4,0.4849
40,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.41,0.47125
41,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.42,0.4585
42,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.43,0.44584999999999997
43,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.44,0.4345
44,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.45,0.42555
45,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.46,0.4197
46,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.47,0.41725
47,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.48,0.41855
48,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.49,0.42285
49,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.5,0.42715000000000003
50,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.51,0.42785
51,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.52,0.4251
52,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.53,0.42245
53,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.54,0.4232
54,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.55,0.4292
55,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.56,0.4404
56,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.57,0.4536
57,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.58,0.46225
58,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.59,0.46094999999999997
59,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.6,0.45089999999999997
60,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.61,0.4391
61,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.62,0.43215
62,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.63,0.43075
63,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.64,0.4309
64,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.65,0.42815000000000003
65,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.66,0.42035
66,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.67,0.40825
67,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.68,0.3941
68,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.69,0.37935
69,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.7,0.3645
70,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.71,0.3506
71,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.72,0.3402
72,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.73,0.33699999999999997
73,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.74,0.34295
74,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.75,0.35305
75,NU5bhEFUkAE,UC7rtqlDcwGBJlxltvTu3EUQ,0.76,0.35519999999999996
